dataset,node_id,cluster_id,is_in_duplicate_cluster,cluster_size,body_type,node_type,article_path,article_title,document_type,language,word_count,content_hash,text
KMT bodies EN,dita_body:befdb2ff3faf419e3640,,no,,refbody,dita_refbody,en/KA-01037_EN/ka-01037_reinstate_a_cancelled_gis_alw_benefit_o_de18a88f.dita,"Reinstate a cancelled GIS, ALW benefit or ALWS benefit",reference,en,15,80f1fbbe0c66ba63cd2fe1ea0c839d86f37132ab,You must reinstate a cancelled income-tested benefit and take appropriate action in the following situations:
KMT bodies EN,dita_body:0e86d71e00af406d9ba8,body_en_cluster_00164,yes,2,refbody,dita_refbody,en/KA-01037_EN/ka-01037_reinstate_a_cancelled_oas_benefit.dita,Reinstate a cancelled OAS benefit,reference,en,15,59ce43ec6107a43c22341f97ac2669289f2d954f,You must reinstate a cancelled OAS benefit and take appropriate action in the following situations:
KMT bodies EN,dita_body:742deb6df3f556fd8202,body_en_cluster_00233,yes,11,refbody,dita_refbody,en/KA-01037_EN/ka-01037_reinstate_a_cancelled_or_terminated_cpp_ae0dcb4c.dita,Reinstate a cancelled or terminated CPP benefit Updated,reference,en,14,e38a1b5d62cd7ac4798c871919bd76f9dab0cbd1,You must reinstate a terminated benefit and take appropriate action in the following situations:
KMT bodies EN,dita_body:e828c2b32a191b6ed615,body_en_cluster_00940,yes,3,taskbody,dita_taskbody,en/KA-01037_EN/ka-01037_reinstate_or_release_the_cpp_benefit.dita,Reinstate or release the CPP benefit,task,en,198,83334f52e40bb683f59d6bc3d5a98e446244feb2,"Find the client in ITRDS (Action) . Find the client in ITRDS (Action) Review the client's personal data to ensure you are in the correct client account. Review the client's notes. Refer to ITRDS Notes—Review, Add and Delete (Action) . ITRDS Notes—Review, Add and Delete (Action) Click Interrelationships from the navigation menu. The Interrelationships screen opens. Verify if the client has a spouse or common-law partner receiving a benefit that can be affected. Reinstate or release each benefit type. Refer to Cancel, Reinstate, Release, Suspend or Terminate a Benefit in ITRDS (Action) . Cancel, Reinstate, Release, Suspend or Terminate a Benefit in ITRDS (Action) Review the Benefits screen to confirm the results, including the correct Current amount , Amount at Start Date , Status and Start Date . If the results are not as expected, review the adjudication details. Review the Account Overview screen in CPMS for monetary information, such as receivables or payables, that may have been created as a result of the action you have taken on the client's account. Refer to Departmental Receivables (Overpayments) (Scenario) or to Payables (Underpayments) in CPMS (Scenario) , if applicable. Departmental Receivables (Overpayments) (Scenario) Payables (Underpayments) in CPMS (Scenario) Send the applicable letter to notify the client."
KMT bodies EN,dita_body:9200483860442f19f0f6,body_en_cluster_00233,yes,11,refbody,dita_refbody,en/KA-01037_EN/ka-01037_release_a_suspended_cpp_benefit_updated.dita,Release a suspended CPP benefit Updated,reference,en,14,e7cb00970a1cc243ed98d27c3b7570ac9ed2fd24,You must release a suspended benefit and take appropriate action in the following situations:
KMT bodies EN,dita_body:157bbdafdf7a869731bb,body_en_cluster_00233,yes,11,refbody,dita_refbody,en/KA-01037_EN/ka-01037_release_a_suspended_gis_alw_benefit_or__2465b9cf.dita,"Release a suspended GIS, ALW benefit or ALWS benefit",reference,en,15,7fb6132f70135d8d88c5f5da8449b23076f64243,You must release a suspended income-tested benefit and take appropriate action in the following situations:
KMT bodies EN,dita_body:a04978bc4f3cc336dccd,body_en_cluster_00233,yes,11,refbody,dita_refbody,en/KA-01037_EN/ka-01037_release_a_suspended_oas_benefit.dita,Release a suspended OAS benefit,reference,en,15,31caf1874a0d546fffbb591f4196803d9082f701,You must release a suspended OAS benefit and take appropriate action in the following situations:
KMT bodies EN,dita_body:afd4c26a8c8a4a4280cf,,no,,conbody,dita_conbody,en/KA-01037_EN/ka-01037_required_information_or_documentation_updated.dita,Required information or documentation Updated,concept,en,98,0be09470a529e46783de7297b94b0157e0dc46ca,"To release suspended CPP or OAS payments, you must confirm a new payee contact or ongoing eligibility by verifying required information, such as: confirmation of a +18 child's return to full-time or part-time attendance at school or university; supporting statements of a new custodian for a -18 child; a court document identifying a new trustee; requested information that is missing (e.g. age evidence; new address, direct deposit information); compliant information provided after the client refused to do so; compliance with legislation after the client failed to do so; or an OAS Return of Income form received from CRA ."
KMT bodies EN,dita_body:b0db875025c619c57d6d,body_en_cluster_00233,yes,11,conbody,dita_conbody,en/KA-01037_EN/ka-01037_summary.dita,Summary,concept,en,24,b81ac9cd17f48dd048aa41c89550fede22bad1b1,This procedure provides the guidance necessary to release suspended benefits and to reinstate terminated benefits when a client's initial or ongoing eligibility is confirmed.
KMT bodies EN,dita_body:fe9c91359a6a9183355a,body_en_cluster_00005,yes,125,conbody,dita_conbody,en/KA-01037_EN/ka-01037_update_the_systems.dita,Update the systems,concept,en,65,c50bb533873a2aebb539ac762e6d3ff58f6acadd,"Update the work item in PWS , if applicable. For more details, refer to Pensions Workload System Guide Internal link . (KA-02284 Snippet 16.0 content. Do not modify or delete.) Update the client's notes in ITRDS to record details of your actions or decisions made on the account. Refer to ITRDS Notes—Review, Add and Delete (Action) . (KA-01651 Snippet 4.0 content. Do not modify or delete.)"
KMT bodies EN,dita_body:94d2e2dc0b229e4550d7,body_en_cluster_00090,yes,4,conbody,dita_conbody,en/KA-01037_EN/ka-01037_was_the_date_of_death_on_a_terminated_a_f47b9ff5.dita,Was the date of death on a terminated account added in error? Updated,concept,en,91,8f66b1cd8474ad2e97a1767e75743855161b9f96,"When a Date of Death (DOD) is entered on a client's account in error, it must be corrected as soon as it is discovered. You must remove the DOD from the client's account and notify the Social Insurance Registry (SIR) and other program areas (e.g. CPP, OAS and International Operations) immediately. For instructions on completing and sending an urgent email to the SIR and reinstating any suspended or cancelled benefits, Reporting an Incorrect Date of Death to the Social Insurance Registry (Action) To notify another program, follow your regional procedures."
KMT bodies EN,dita_body:cd85e6c303a589bb6ea1,body_en_cluster_00233,yes,11,conbody,dita_conbody,en/KA-01037_EN/ka-01037_what_you_need_to_know.dita,What you need to know,concept,en,111,8b785a6c5dae65aeec693043924fc5dbdc9f1bac,"CPP benefits When a suspended or terminated CPP benefit is released or reinstated, the recurring payment schedule is reactivated. Any former deduction amounts on a suspended account are reactivated. On a terminated account, any former deduction amounts are not reactivated (e.g. a voluntary tax withhold). When a client requests to cancel or withdraw a CPP benefit, a new application for benefits must be submitted to put the benefit back in pay. For information on processing a request to cancel a benefit, refer to Cancel or Terminate Benefits (Scenario) . For information on processing a request to withdraw an application, Cancel or Terminate Benefits (Scenario) Withdraw an Application (Scenario) OAS benefits Common"
KMT bodies EN,dita_body:520443f8871f657ef584,body_en_cluster_00621,yes,2,conbody,dita_conbody,en/KA-01045_EN/ka-01045_authorized_contacts.dita,Authorized contacts,concept,en,21,d1609e779b1c281c1b2ac33a6a045b8dfe810c68,"An authorized contact can be one of the following: For more information on the types of authorized contacts, Legal Representation (Policy)"
KMT bodies EN,dita_body:18e617328d2cf59f444d,,no,,conbody,dita_conbody,en/KA-01045_EN/ka-01045_exceptions_and_special_cases.dita,Exceptions and special cases,concept,en,128,bfb5406f7e272612da61e8ee94a8ff793f1a90ad,"Using the same contact payee for more than one -18 child in ITRDS When you add a contact or applicant for a first -18 child, their name populates the Applicant field of the Data Capture screen. For a subsequent -18 child under the same contributor, you can select as a payee the first contact's or applicant's name, displayed in the Data Capture screen. Greater of 2 SVR benefits with a -18 child in ITRDS In certain situations, the custodial parent has selected the greater of 2 SVR benefits and there is a -18 surviving child in pay. To pay the child's benefit to the correct payee, you must: Re-enter the custodial parent as a contact or an applicant with the role of Custodial Parent. Add a start date in the Modify Payee screen."
KMT bodies EN,dita_body:668932d22839128995fc,,no,,refbody,dita_refbody,en/KA-01045_EN/ka-01045_glossary.dita,Glossary,reference,en,14,be0520490b12e8f9774dfcd72d2bcdc8b59d931d,Authorized Contact Authorized Representative Custodial parent Legal Representation Legal Representative Surviving Child Social services
KMT bodies EN,dita_body:cb18233cfdf1987a072c,,no,,conbody,dita_conbody,en/KA-01045_EN/ka-01045_legal_representation.dita,Legal representation,concept,en,21,a89444a75edaeabd1662c6ff7fd99d6c30a65ff5,"A legal representative can be one of the following: For more information on the types of legal representatives, Legal Representation (Policy)"
KMT bodies EN,dita_body:741f16f6a7094740449f,,no,,conbody,dita_conbody,en/KA-01045_EN/ka-01045_summary.dita,Summary,concept,en,33,4c49c7dee6839fbd29b676395c65b0a4a1b635a5,"When administering CPP, OAS or foreign benefits, situations arise where a client authorizes another individual or organization to give or receive information on their behalf or act and make decisions on their behalf."
KMT bodies EN,dita_body:918357d4ba075c9f478d,,no,,conbody,dita_conbody,en/KA-01045_EN/ka-01045_third_party_contact_roles_in_curam.dita,Third party contact roles in Cúram,concept,en,265,94c0a60783d4c21aa9db865db3aa877631629ff9,"Cúram functionality allows you to select a Role for the contact on the Third Party Contact screen on the Person Record. The contact will be considered a non-payee or a potential payee, referred to as nominee in Cúram, depending on the Role selected. Non-payee contacts who can receive correspondence Accountant Authorization to Disclose Information Barrister / Solicitor International Personal Post-mortem Business Representative Social Worker Trustee - Supporting Tutor - Supporting Patronato Assistant Assistants can request a duplicate letter. However, the letters must be addressed to the client and mailed to the address listed on file and not mailed to the third party. Payee contacts who can receive payments and correspondence Administrator Appointed by the Courts Bulk Pay / Public Trustee Estate Representative Executor Liquidator (Quebec) For Estate Of Legal Representative of the Estate Mandatary Mandatary appointed with a homologated protection mandate. Trustee - Accounting Trustee – Non-Accounting Tutor One-time payee contacts who can receive one payment only Authorization to Deduct - Social Services Power of Attorney or Mandatary Mandatary Mandatary supporting Power of Attorney Power of Attorney Supporting Unverified Contacts An Unverified Contact is an individual that has not submitted the required documentation to be added as a valid Third Party Contact. In certain circumstances, the Department may need to communicate with these individuals. For example, if a client passes away or becomes unable to manage their affairs, an unverified individual might submit incomplete documentation. In such cases, it is essential to obtain additional documents to verify the individual's identity or to communicate further. To facilitate this, create an unverified contact in Cúram to record their personal information for the purpose of sending a letter through Cúram."
KMT bodies EN,dita_body:3ed62a942e2ac46271de,,no,,conbody,dita_conbody,en/KA-01045_EN/ka-01045_third_party_contact_roles_in_itrds_updated.dita,Third party contact roles in ITRDS Updated,concept,en,222,e8bb86bc0fa5e6018aad1287a679b345886d2483,"ITRDS functionality allows you to select a Role for the contact or applicant on the Contact / Applicant screen. The contact will be considered a non-payee or a potential payee depending on the Role selected. Non-payee contacts who can receive correspondence Accountant Authorization to Disclose Information Barrister / Solicitor International Personal Post-mortem Business Representative Social Worker Trustee - Supporting Payee contacts who can receive payments and correspondence Administrator Appointed by the Courts Bulk Pay / Public Trustee Child Organization Custodial Parent Estate Representative Executor For Estate Of Guardian In Fact Legal Guardian Legal Representative of the Estate Subsequent Applicant - Death Benefit Trustee - Accounting Trustee - Non-Accounting One-time payee contacts who can receive one payment only Authorization to Deduct - Social Services Authorization to Deduct - Private Insurance Authorization to Deduct - WCB Power of Attorney or Mandatary Mandatary Power of Attorney Power of Attorney Supporting Although ITRDS considers the Power of Attorney and Mandatary role as potential payees, the benefit payments will always be issued in the client's name care/of the attorney or mandatary. Power of Attorney or Mandate Document (Scenario) However, a mandatary appointed with a homologated protection mandate for an incapable client (in Quebec) replaces the client as the payee in the same way as tutors and trustees. Homologation refers to a confirmation by the court of the incapability of the mandator. It involves assessments of the person's condition by medical professionals. Trusteeship (Scenario)"
KMT bodies EN,dita_body:62ad47f7f72b8864e5ed,body_en_cluster_00691,yes,2,refbody,dita_refbody,en/KA-01045_EN/ka-01045_what_you_need_to_do.dita,What you need to do,reference,en,9,ea075608c1710cbb2196973750053e39692008fe,Follow the direction for the appropriate third party contact:
KMT bodies EN,dita_body:76a78249bf3d6c57ea24,body_en_cluster_00691,yes,2,refbody,dita_refbody,en/KA-01045_EN/ka-01045_what_you_need_to_do_2.dita,What you need to do,reference,en,9,ea075608c1710cbb2196973750053e39692008fe,Follow the direction for the appropriate third party contact:
KMT bodies EN,dita_body:e700fec33cfb1c98f854,,no,,conbody,dita_conbody,en/KA-01045_EN/ka-01045_what_you_need_to_know.dita,What you need to know,concept,en,147,45644beb7bfca938cbdc97f915ea7070d0c74e6d,"There are various levels of authority that can be granted to an individual by a client. When the Department receives documentation authorizing an individual, it is important to determine if the authorized representative named in the document is a legal representative or an authorized contact. There are cases where the client is incapable or does not wish to manage their own affairs, and another individual or organization is given the legal authority to act or make decisions on a client's behalf. Under some legal authorities, they also receive the CPP and OAS benefit payments on a client's behalf. This is called legal representation. In other cases, a capable client may grant another individual the authority to communicate on their behalf. These individuals are authorized contacts. This authority is different from the authority to legally act on behalf of an individual and the two must not be confused."
KMT bodies EN,dita_body:1599d64788bcca16efc4,,no,,conbody,dita_conbody,en/KA-01045_EN/ka-01045_what_you_need_to_know_3.dita,What you need to know,concept,en,169,c5045c84b8e623452ab49b877ae924792510187c,"In Cúram, you can add third-party contacts as either an Individual or an External Third Party organization. External Parties that are not Bulk Payee/Public Trustee These are organizations that can be registered as a Third Party - Payee or Third Party - Non Payee, using the External Party feature. All External Third Party organizations must be registered before they can be added as a third-party contact . If they are not registered, refer to Register a Third-Party Organization, Office and Office Member in Cúram (Action) before proceeding. Register a Third-Party Organization, Office and Office Member in Cúram (Action) External Parties that are Bulk Payee/Public Trustee These are organizations that are registered via the External Party feature. All Bulk Payees and Public Trustees have already been registered in Cúram by an Admin User. Do not add new Bulk Payees or Public Trustees in Cúram as this is an admin function. For a list of the Bulk Payees and Public Trustees registered in Cúram, Third Party Contacts—Add, View, Edit, and Delete in Cúram (Action)"
KMT bodies EN,dita_body:1c6d9a1e7b241468b152,body_en_cluster_00291,yes,2,conbody,dita_conbody,en/KA-01051_EN/ka-01051_adjust_the_payment_frequency_updated.dita,Adjust the payment frequency Updated,concept,en,10,7fdbdd4346a24d53e245ac0da252a0702d0563bd,"To adjust the payment frequency, Periodic Payment—Adjust in CPMS (Action)"
KMT bodies EN,dita_body:acef9aac04dd0bbfc641,,no,,conbody,dita_conbody,en/KA-01051_EN/ka-01051_adjusting_the_payment_frequency_in_cpms_updated.dita,Adjusting the payment frequency in CPMS Updated,concept,en,677,f100f79f326067d1eea0400ed76773cf60f75818,"Effective July 10, 2024, CPMS offers users the option to adjust the frequency of CPP benefit payments in the Frequency Payment screen, including monthly, bi-monthly, quarterly, semi-annually and annually. When you adjust the payment frequency, the payment information will only be sent to Standard Payment System during the applicable monthly pay run. Payables (monthly and supplementary) are generated in CPMS throughout the year without a payment reference number. These payables will remain pending within CPMS until the payable release point is reached and the payment is processed. This feature eliminates the need to suspend a client's account to control payment frequency, reducing the number of accounts on the monthly Accounts Suspended More Than 6 Months (ERS-0023) report. For more information, Accounts Suspended More Than 6 Months (Scenario) Number of frequency adjustments New There is no limit to the number of payment frequency adjustments on an account. The client can request to stop periodic payments at any time. When you stop the periodic payment, all payables ready to be issued accumulated to that point in time are released with the next regular monthly payment. If you adjust the payment frequency before the cut-off for the August accounting period, the client will receive their first quarterly payment in September, which includes the accumulated payables for July, August and September. If you adjust the payment frequency after the cut-off for the August account period, the client will receive their first quarterly payment in December, which includes the accumulated payables for July, August, September, October, November and December. When adjusting the payment frequency, you must consider the accounting month and cut-off date for the accounting period and communicate the expected payment schedule to the client for each month. For more information, refer to the All CPP Production Schedules External link . All CPP Production Schedules Payment Status New To support the periodic payment functionality in CPMS , the following payment statuses have been added: Under Threshold Issued - Monthly Issued – Bi-monthly Issued – Quarterly Issued – Semi-annually Issued – Annually Cancelled - Internally Pending – Monthly Pending – Bi-monthly Pending – Quarterly Pending – Semi-annually Pending – Annually The payment statuses are displayed on the following screens under Status : Payment History; Payment History Details; and Payment History Details List. Pending Monthly feature New You can revert a non-monthly payable (e.g. annually paid) to be issued in the current accounting month by selecting Pending Monthly payment status in the Payment History Details screen in CPMS . For example, if a client requests to change their payment frequency from monthly to annually and wants the August monthly payment to be paid in August instead of being delayed until December, you can adjust the August monthly payment to be issued in August. Cancelling payment feature New You can cancel a non-monthly payable (e.g. quarterly paid) before it is sent to Standard Payment System. This can be done by selecting the Cancel Payment in the Payment History Details screen in CPMS . When you select Cancel Payment of a non-monthly payment, the system generates a supplementary payable for that month with a ""Cancelled – Internal – In process to be paid"" status. You then have the option to: change the status to pending (to issue it at the next monthly pay run); issue it as a priority payment (to issue it as a daily payment); split the payable (to issue to another payee); or apply it against a receivable. For example, the Cancel Payment option allows you to: stop payments that a client is not entitled to. If a client dies and there are 6 ""Pending—Quarterly—In process to be paid” payables, 2 of those payables must be intercepted and applied against the receivable generated because the client passed away 2 months before the date of death was entered in ITRDS . The 4 remaining payables can then be issued as split payables to the deceased contributor's estate or eligible payee. issue a payment sooner. A client calls, requesting that they receive one monthly payment sooner than the scheduled periodic payment. You have two options: you can either adjust the payment to pending and issue it on the next arrears run; or make it a priority payment and issue it as a daily payment."
KMT bodies EN,dita_body:0c33784763ee52ca43c5,body_en_cluster_00042,yes,100,conbody,dita_conbody,en/KA-01051_EN/ka-01051_exceptions_and_special_cases.dita,Exceptions and special cases,concept,en,17,498f7c15dac482626cbe3832fb6aabab3e8c809d,There are no exceptions or special cases. (KA-01098 Snippet 12.0 content. Do not modify or delete.)
KMT bodies EN,dita_body:09e4b36b30f58b431c30,,no,,refbody,dita_refbody,en/KA-01051_EN/ka-01051_forms.dita,Forms,reference,en,66,ae172f8d5dad277618a52c37b5ca28d940b5ca58,ISP-1019-1/ISP-1019-2—Payment of your Canada Pension Plan Post-Retirement Benefit / Method of payment for your CPP Post-Retirement Benefit (For Quebec Pension Plan Retirement Pension Recipients) You can access the forms listed above in the ESDC/SC - Service Canada Forms List Internal link (access is required). Search the forms catalogue using the 4 digits. (KA-03207 Snippet 19.0 content. Do not modify or delete.) ESDC/SC - Service Canada Forms List
KMT bodies EN,dita_body:b1043a6ebb19e99a0c40,,no,,refbody,dita_refbody,en/KA-01051_EN/ka-01051_glossary.dita,Glossary,reference,en,12,629928bc00793561fe1f175edb18e7e7b57db490,Annually Bi-monthly Cancel Payment Payment Frequency Pending Monthly Periodic payment Quarterly Semi-annually
