sentence,frameCount,frames,frameIds,occurrenceCount,sourceDocumentCount,sourceDocuments
The client will need to change the access code in order to complete bi-weekly reports by calling 1-800-206-7218.,41,Activity_finish; Arranging; Artistic_style; Bail_decision; Biological_classification; Cause_change; Change_tool; Chaos; Claim_ownership; Commerce_buy; Communication_means; Completeness; Contacting; Deserving; Desiring; Documents; Exchange; Exchange_currency; Giving; Have_as_requirement; Having_or_lacking_access; Labeling; Law; Name_conferral; Needing; Organization; Process_completed_state; Rank; Referring_by_name; Replacing; Reporting; Request; Request_entity; Required_event; Rite; Sentencing; Sequence; Simple_naming; Statement; Text; Undergo_change,165; 921; 2490; 121; 2701; 683; 1173; 2705; 550; 171; 242; 1534; 286; 541; 366; 560; 1170; 1184; 139; 1491; 1870; 1250; 950; 221; 1375; 1371; 234; 1377; 1253; 1121; 483; 41; 2700; 1381; 301; 297; 2135; 1261; 43; 298; 1172,1,1,procedure/generic/referral_to_integrity_temp_measures_fraudulent_ei_and_eierb_claim.json
The critically ill or injured child does not always live in Canada and the client is required to leave Canada to provide care or support to the child where the child lives.,41,Abandonment; Appellations; Being_necessary; Causation; Cause_harm; Commerce_buy; Dead_or_alive; Deny_or_grant_permission; Departing; Desiring; Evidence; Experience_bodily_harm; Forming_relationships; Frequency; Funding; Giving; Have_as_requirement; Imposing_obligation; Ingest_substance; Intentionally_act; Intentionally_affect; Kinship; Living_conditions; Locative_relation; Manner_of_life; Medical_conditions; Needing; Negation; Path_shape; People_by_age; Quitting; Residence; Sex; Spatial_co-location; Supply; Supporting; Surviving; Taking_sides; Temporary_leave; Thriving; Touring,2031; 2390; 1157; 5; 112; 171; 310; 520; 57; 366; 25; 384; 723; 80; 2982; 139; 1491; 1494; 386; 198; 230; 104; 2564; 199; 2562; 239; 1375; 2860; 61; 973; 325; 110; 2913; 2905; 1346; 2000; 1792; 1306; 2709; 1771; 1907,1,1,procedure/generic/pcic.json
The Level 2 agent uses the facts on the file of the BP containing the misrepresentation being adjudicated to determine the potential effect of a violation on a future claim.,41,Accomplishment; Active_substance; Alternatives; Being_in_effect; Building_subparts; Capability; Claim_ownership; Coming_to_believe; Compliance; Containing; Contingency; Control; Deciding; Destroying; Dimension; Execute_plan; Gizmo; Grooming; Inclusion; Ingest_substance; Intentionally_act; Legal_rulings; Objective_influence; Part_ordered_segments; People_by_vocation; Placing; Predicting; Prevarication; Purpose; Quantity; Rank; Removing; Self_motion; Statement; Subjective_influence; Submitting_documents; Temporal_collocation; Tool_purpose; Treating_and_mistreating; Using; Using_resource,1519; 1322; 1931; 1510; 188; 990; 550; 23; 117; 397; 900; 1799; 363; 417; 108; 1726; 106; 159; 1153; 386; 198; 2076; 1084; 331; 1071; 62; 425; 287; 513; 2604; 1377; 63; 64; 43; 1083; 1521; 1895; 2717; 2770; 1141; 2480,1,1,procedure/task/adjudicating_em_violation.json
The Non-complex officer does not open the envelope containing the benefit statement and access code since the officer must not see the client’s full access code.,41,Abounding_with; Activity_start; Appellations; Attention_getting; Biological_urge; Body_movement; Candidness; Categorization; Causation; Closure; Commerce_buy; Completeness; Condition_symptom_relation; Conferring_benefit; Containers; Containing; Eventive_affecting; Feeling; Fullness; Grasp; Having_or_lacking_access; Inclusion; Ingest_substance; Intentionally_act; Intentionally_affect; Law; Leadership; Negation; Openness; People_by_vocation; Perception_experience; Reference_text; Relational_political_locales; Secrecy_status; Sex; Social_event; Statement; Stimulus_focus; Thriving; Time_vector; Touring,262; 146; 2390; 305; 394; 16; 32; 21; 5; 254; 171; 1534; 2718; 2721; 78; 397; 88; 396; 244; 979; 1870; 1153; 386; 198; 230; 950; 73; 2860; 1872; 1071; 70; 1924; 1883; 1145; 2913; 125; 43; 364; 1771; 379; 1907,2,2,procedure/task/actioning_receipt_un_mail.json; procedure/task/echec-lie-corres-cour-nl-corresp-failed-um.json
"The officer determines the type of payment attempt being disputed (direct deposit or cheque) and takes the action required to refer the issue to Integrity or IPOS, as required.",41,Aiming; Appellations; Attempt; Attention_getting; Behind_the_scenes; Being_necessary; Bringing; Capacity; Coming_to_believe; Commerce_pay; Conquering; Contingency; Control; Create_physical_artwork; Creating; Deciding; Emanating; Have_as_requirement; Imposing_obligation; Ingest_substance; Intentionally_act; Leadership; Medical_intervention; Needing; Opinion; People_by_vocation; Placing; Point_of_dispute; Reference_text; Referring_by_name; Removing; Ride_vehicle; Sending; Sex; Supply; Taking; Taking_time; Text; Text_creation; Topic; Type,1901; 2390; 116; 305; 409; 1157; 240; 2138; 23; 180; 2021; 900; 1799; 1658; 319; 363; 361; 1491; 1494; 386; 198; 73; 2741; 1375; 1412; 1071; 62; 1608; 1924; 1253; 63; 690; 243; 2913; 1346; 410; 967; 298; 278; 373; 128,1,1,procedure/activity/suspense_voucher.json
These measures have extended WS agreements beyond the regular maximum of 38 weeks and reduced or removed the standard cooling-off period between agreements (i.e. the period employers must normally serve before being eligible for a new WS agreement).,41,Age; Assistance; Be_in_agreement_on_action; Be_in_agreement_on_assessment; Being_incarcerated; Calendric_unit; Capacity; Cause_change_of_position_on_a_scale; Change_event_duration; Conquering; Dimension; Documents; Duration_description; Employing; Exemplariness; Extreme_value; Familiarity; Frequency; Function; Giving_birth; Have_associated; Inclusion; Ingest_substance; Ingestion; Intentionally_act; Interior_profile_relation; Locative_relation; Make_agreement_on_action; Measure_duration; Offering; Possession; Quantified_mass; Removing; Serving_in_capacity; Sex; Sports_jargon; Subordinates_and_superiors; Successful_action; Sufficiency; Time_vector; Undressing,972; 391; 1380; 1496; 2673; 229; 2138; 96; 1770; 2021; 108; 560; 79; 323; 2253; 1596; 1597; 80; 2523; 281; 1933; 1153; 386; 263; 198; 1178; 199; 1342; 224; 2239; 118; 189; 63; 2521; 2913; 2510; 530; 1389; 342; 379; 1210,1,1,procedure/task/converting_claim_mps_bpc_103.json
This means that clients who have collected all of their regular benefits can still be paid WS benefits as long as some BT remains payable and they meet the conditions of a WS week.,41,Assemble; Calendric_unit; Causation; Come_together; Commerce_buy; Commerce_collect; Conferring_benefit; Continued_state_of_affairs; Degree; Desiring; Dimension; Duration_description; Evidence; Existence; Gathering_up; Giving_birth; Have_associated; Inclusion; Ingest_substance; Ingestion; Left_to_do; Likelihood; Linguistic_meaning; Locative_relation; Make_acquaintance; Means; Measurable_attributes; Measure_duration; Medical_conditions; Meet_specifications; Meet_with_response; Possession; Purpose; Quantified_mass; Remainder; Response; Sex; Social_event; State_continue; State_of_entity; Terms_of_agreement,2237; 229; 5; 730; 171; 210; 2721; 1594; 2001; 366; 108; 79; 25; 660; 260; 281; 1933; 1153; 386; 263; 1041; 114; 406; 199; 1085; 1790; 965; 224; 239; 2235; 2232; 118; 513; 189; 1030; 1302; 2913; 125; 1155; 1600; 1531,1,1,procedure/task/converting_claim_mps_bpc_103.json
"To determine if the OP was caused by a delay or error made by the Commission, the officer must compare the amount that the OP would have been, had it been actioned on the day the information was received to the amount of the OP on the date the OP was established.",41,Amounting_to; Appellations; Attention_getting; Being_in_category; Being_obligated; Calendric_unit; Causation; Change_event_time; Coming_to_believe; Committing_crime; Condition_symptom_relation; Contingency; Control; Deciding; Degree; Employing; Evaluative_comparison; Food; Giving_birth; Have_associated; Hindering; Hiring; Inclusion; Information; Ingest_substance; Ingestion; Intentionally_create; Leadership; Likelihood; Location_in_time; Measure_duration; Origin; People_by_vocation; Personal_relationship; Possession; Quantified_mass; Quantity; Receiving; Sex; Social_event_collective; Timespan,602; 2390; 305; 1820; 392; 229; 5; 691; 23; 700; 2718; 900; 1799; 363; 2001; 323; 353; 277; 281; 1933; 480; 322; 1153; 1591; 386; 263; 280; 73; 114; 2141; 224; 1103; 1071; 102; 118; 189; 2604; 411; 2913; 2281; 2142,1,1,procedure/task/adjudicating_write_off.json
"To determine the correct actions to take, the officer must refer to the What you need to look for section and then review the chart below.",41,Appellations; Artistic_style; Attention_getting; Bringing; Capacity; Coming_to_believe; Conquering; Contingency; Control; Correctness; Create_physical_artwork; Deciding; Directional_locative_relation; Entity; Facial_expression; Give_impression; Have_as_requirement; Ingest_substance; Intentionally_act; Leadership; Needing; Opinion; Part_whole; People_by_vocation; Perception_active; Reference_text; Referring_by_name; Removing; Required_event; Resolve_problem; Ride_vehicle; Scrutiny; Sending; Separating; Sex; Suitability; Taking; Taking_time; Temporal_collocation; Time_vector; Topic,2390; 2490; 305; 240; 2138; 23; 2021; 900; 1799; 1512; 1658; 363; 2912; 251; 161; 67; 1491; 386; 198; 73; 1375; 1412; 140; 1071; 66; 1924; 1253; 63; 1381; 1523; 690; 31; 243; 15; 2913; 368; 410; 967; 1895; 379; 373,1,1,procedure/activity/misrepresentation.json
"To qualify for an exemption under EIR 55 while receiving regular benefits, the client must also prove availability for work ( EIA 18 ) by making arrangements to be contacted for employment opportunities and by being able to return to Canada within 48 hours.",41,Arranging; Arriving; Being_employed; Being_operational; Building; Calendric_unit; Capability; Causation; Cause_change; Commerce_buy; Conferring_benefit; Contacting; Cooking_creation; Creating; Dimension; Dough_rising; Earnings_and_losses; Employing; Evidence; Intentionally_create; Interior_profile_relation; Labor_product; Locale_by_use; Manufacturing; Measure_duration; Non-gradable_proximity; Proportional_quantity; Reasoning; Receiving; Resurrection; Self_motion; Social_event; Spatial_contact; Temporal_collocation; Turning_out; Unemployment_rate; Usefulness; Using; Within_distance; Work; Working_a_post,921; 54; 282; 1200; 259; 229; 990; 5; 683; 171; 2721; 286; 268; 319; 108; 1421; 1873; 323; 25; 280; 1178; 2164; 196; 408; 224; 2880; 1923; 308; 411; 1413; 64; 125; 2890; 1895; 2191; 1606; 726; 1141; 1461; 1892; 2603,1,1,procedure/task/out_canada_regular_ben.json
"Under EIR 55(1.1) , payment for 14 days while outside Canada may be allowed if the client is visiting a relative who is seriously ill or injured, and during the absence from Canada, that family member passes away (refer to Digest 10.11.8 — Out of Canada ).",41,Aggregate; Arriving; Biological_classification; Body_parts; Calendric_unit; Cause_harm; Commerce_buy; Commerce_pay; Degree; Expected_location_of_person; Experience_bodily_harm; Importance; Interior_profile_relation; Kinship; Location_in_time; Locative_relation; Measure_duration; Medical_conditions; Membership; Natural_features; Non-gradable_proximity; Part_inner_outer; Passing; Path_shape; Presence; Prevent_or_allow_possession; Preventing_or_letting; Process_end; Prohibiting_or_licensing; Proportional_quantity; Reference_text; Referring_by_name; Sending; Sleep; Statement; Temporal_collocation; Temporary_leave; Timespan; Topic; Traversing; Visiting,103; 54; 2701; 119; 229; 112; 171; 180; 2001; 1619; 384; 407; 1178; 104; 2141; 199; 224; 239; 1026; 191; 2880; 327; 2071; 61; 1922; 2056; 516; 232; 521; 1923; 1924; 1253; 243; 264; 43; 1895; 2709; 2142; 373; 1310; 1911,2,2,procedure/task/out_canada_regular_ben.json; procedure/task/out_canada_sickness_ben.json
"Updated: COVID-19 and the new DARS account type — Procedures and additional resource (All levels) October 26 th , 2020, a new DARS account type 1346 - CERB Advance Payment is available to identify and separate an overpayment (OP) when an adjustment to the initial $2 000 payment results in the establishment of an OP in DARS.",41,Adjusting; Age; Becoming_separated; Building_subparts; Businesses; Calendric_unit; Categorization; Causation; Cause_to_make_progress; Change_event_time; Change_position_on_a_scale; Commerce_pay; Condition_symptom_relation; Destroying; Differentiation; Dimension; Earnings_and_losses; Explaining_the_facts; Familiarity; Forming_relationships; Giving; Gizmo; Increment; Indicating; Intentionally_create; Justifying; Means; Medical_intervention; Part_ordered_segments; Progression; Quantified_mass; Quantity; Rank; Resolve_problem; Self_motion; Separating; Text; Text_creation; Type; Verification; Version_sequence,1376; 972; 1863; 188; 365; 229; 21; 5; 1349; 691; 91; 180; 2718; 417; 24; 108; 1873; 1462; 1597; 723; 139; 106; 1001; 2090; 280; 512; 1790; 2741; 331; 1340; 189; 2604; 1377; 1523; 64; 15; 298; 278; 128; 1230; 1960,1,1,procedure/generic/covidhu.json
"When a request for reconsideration disputes a teacher issue for a client who resides in Quebec and worked for a school board in Ontario (or vice-versa), the RFR WI is assigned to the region where the client worked as a teacher: If the client was working in Quebec, assign it to level 7 - National RFR and Appeals / RFRA-QC / Requests for Reconsideration-QC .",41,Aggregate; Appeal; Artifact; Being_employed; Being_operational; Board_vehicle; Building_subparts; Commerce_buy; Controller_object; Creating; Destroying; Dimension; Education_teaching; Emanating; Experiencer_obj; Gizmo; Information_display; Locale; Locale_by_use; Locative_relation; Organization; Origin; Part_ordered_segments; Part_piece; People_by_jurisdiction; People_by_vocation; Point_of_dispute; Political_locales; Quantity; Quarreling; Rank; Request; Residence; Spatial_co-location; Supply; Temporary_stay; Text; Usefulness; Version_sequence; Work; Working_a_post,103; 504; 421; 282; 1200; 1633; 188; 171; 2654; 319; 417; 108; 111; 361; 47; 106; 2653; 192; 196; 199; 1371; 1103; 331; 142; 1023; 1071; 1608; 195; 2604; 710; 1377; 41; 110; 2905; 1346; 1885; 298; 726; 1960; 1892; 2603,1,1,procedure/generic/wl_mgmt_rfr.json
"When a request for reconsideration meets both of the following conditions, place the record in abeyance in ADMS and add the request to the COVID-19 case grouping: a post-EI ERB claim with a BPC of w/c 2258 or later; a calculation issue other than a BPNE.",41,Assemble; Assigned_location; Cause_change_of_position_on_a_scale; Cause_to_be_included; Claim_ownership; Come_together; Commutative_process; Compliance; Containers; Cotheme; Creating; Criminal_investigation; Emanating; Grasp; Increment; Instance; Locale; Locative_relation; Make_acquaintance; Measure_volume; Medical_conditions; Meet_specifications; Meet_with_response; Placing; Point_of_dispute; Predicting; Quantified_mass; Reasoning; Recording; Records; Relative_time; Request; Response; State_of_entity; Statement; Supply; Temporal_subregion; Terms_of_agreement; Text; Time_vector; Trial,2237; 2628; 96; 2230; 550; 730; 2243; 117; 78; 56; 319; 500; 361; 979; 1001; 132; 192; 199; 1085; 155; 239; 2235; 2232; 62; 1608; 425; 189; 308; 1615; 2680; 81; 41; 1302; 1600; 43; 1346; 1470; 1531; 298; 379; 201,2,1,procedure/generic/wl_mgmt_rfr.json
"When a request for reconsideration relates to an EI ERB advance payment OP, in ADMS ensure the file is registered as follows: Issue: Overpayment Sub-issue: Payment in Advance If there is an RFR WI related to the request for reconsideration, in NWS, reassign it to the appropriate OP-EI ERB advance payment level that corresponds with the client’s region when the request for reconsideration was received: OP-EI ERB advance payment-ATL / T-P - Paiement anticipé de la PU AE-AT OP-EI ERB advance payment-QC / T-P - Paiement anticipé de la PU AE-QC OP-EI ERB advance payment-ON / T-P - Paiement anticipé de la PU AE-ON OP-EI ERB advance payment-WT / T-P - Paiement anticipé de la PU AE-WT",41,Becoming_aware; Building_subparts; Cause_to_make_progress; Change_event_time; Change_position_on_a_scale; Cognitive_connection; Commerce_buy; Commerce_pay; Compliance; Condition_symptom_relation; Cotheme; Creating; Degree; Destroying; Dimension; Emanating; Giving; Gizmo; Grasp; Grooming; Locale; Locative_relation; Part_ordered_segments; Placing; Point_of_dispute; Progression; Quantity; Rank; Receiving; Recording; Relating_concepts; Relative_time; Removing; Request; Self_motion; Spatial_co-location; Statement; Submitting_documents; Suitability; Supply; Text,20; 188; 1349; 691; 91; 720; 171; 180; 117; 2718; 56; 319; 2001; 417; 108; 361; 139; 106; 979; 159; 192; 199; 331; 62; 1608; 1340; 2604; 1377; 411; 1615; 2060; 81; 63; 41; 64; 2905; 43; 1521; 368; 1346; 298,1,1,procedure/generic/wl_mgmt_rfr.json
"When a trace request has not yet been created and the client disputes redeeming the payment attempt made by direct deposit, the officer sends a trace request to IPOC for the payment attempt number being disputed to determine if it was deposited into an account that belongs to the client.",41,Aiming; Amounting_to; Appellations; Attempt; Attention_getting; Be_subset_of; Behind_the_scenes; Cardinal_numbers; Causation; Cause_to_start; Coming_to_believe; Commerce_buy; Commerce_pay; Connectors; Contingency; Control; Creating; Deciding; Degree; Explaining_the_facts; Goal; Graph_shape; Ingredients; Intentionally_create; Justifying; Leadership; Leaving_traces; Medical_intervention; Membership; Negation; People_by_vocation; Physical_artworks; Placing; Possession; Quantified_mass; Quantity; Quarreling; Request; Sending; Text; Time_vector,1901; 602; 2390; 116; 305; 1818; 409; 218; 5; 381; 23; 171; 180; 419; 900; 1799; 319; 363; 2001; 1462; 1177; 2520; 1348; 280; 512; 73; 2501; 2741; 1026; 2860; 1071; 1656; 62; 118; 189; 2604; 710; 41; 243; 298; 379,1,1,procedure/task/examiner-paiement-double-reviewing-duplicate-payment.json
"When an agreed deduction is on file, CPS can recoup a non-misrepresentative OP within the 35-day grace period if the manual update or amended claimant’s reports will result in both the OP and underpayment (UP) being processed in the same pay run.",41,Agree_or_refuse_to_act; Be_in_agreement_on_assessment; Calendric_unit; Causation; Cause_impact; Cause_motion; Coming_to_believe; Commerce_pay; Compatibility; Condition_symptom_relation; Degree_of_processing; Desiring; Documents; Earnings_and_losses; Fluidic_motion; Frequency; Giving; Grooming; Identicality; Impact; Interior_profile_relation; Leadership; Location_in_time; Make_agreement_on_action; Measure_duration; Medical_intervention; Operating_a_system; Path_shape; Placing; Processing_materials; Quantified_mass; Removing; Reporting; Resolve_problem; Self_motion; Statement; Submitting_documents; Temporal_collocation; Text; Timespan; Within_distance,1625; 1496; 229; 5; 395; 55; 23; 180; 360; 2718; 1159; 366; 560; 1873; 345; 80; 139; 159; 1029; 311; 1178; 73; 2141; 1342; 224; 2741; 1495; 61; 62; 620; 189; 63; 483; 1523; 64; 43; 1521; 1895; 298; 2142; 1461,1,1,procedure/task/applying_an_agreed_deduction_pscd.json
"When determining if the employment is suitable, the agent must consider all the facts, including: the type of work, conditions of employment, rate of pay, availability of that type of employment in the labour market, and commuting distance.",41,Active_substance; Assessing; Being_employed; Being_operational; Categorization; Cause_to_be_included; Cogitation; Coming_to_believe; Commerce_pay; Commutation; Condition_symptom_relation; Contingency; Control; Deciding; Degree; Dimension; Employing; Inclusion; Intentionally_act; Labor_product; Locale_by_use; Medical_conditions; People_by_vocation; Price_per_unit; Proportion; Quantified_mass; Range; Rate_quantification; Relational_quantity; Speed_description; State_of_entity; Suitability; Terms_of_agreement; Text_creation; Travel; Type; Unemployment_rate; Usefulness; Using; Work; Working_a_post,1322; 519; 282; 1200; 21; 2230; 22; 23; 180; 1088; 2718; 900; 1799; 363; 2001; 108; 323; 1153; 198; 2164; 196; 239; 1071; 2430; 2431; 189; 1350; 2425; 2427; 966; 1600; 368; 1531; 278; 343; 128; 1606; 726; 1141; 1892; 2603,1,1,procedure/task/fta_job_opportunity.json
"When referring an issue to processing, the agent must exercise judgement and consider imposing a manual action in order to avoid paying benefits if there is a decision that remains to be adjudicated.",41,Active_substance; Arranging; Artistic_style; Avoiding; Bail_decision; Biological_classification; Categorization; Chaos; Cogitation; Commerce_pay; Conferring_benefit; Creating; Deciding; Degree; Emanating; Exercising; Existence; Intentionally_act; Law; Left_to_do; Legal_rulings; Locative_relation; Organization; People_by_vocation; Point_of_dispute; Practice; Preventing_or_letting; Processing_materials; Rank; Remainder; Request; Request_entity; Rite; Sentencing; Sequence; Social_event; Spatial_co-location; State_continue; Supply; Text; Using,1322; 921; 2490; 274; 121; 2701; 21; 2705; 22; 180; 2721; 319; 363; 2001; 361; 2400; 660; 198; 950; 1041; 2076; 199; 1371; 1071; 1608; 962; 516; 620; 1377; 1030; 41; 2700; 301; 297; 2135; 125; 2905; 1155; 1346; 298; 1141,1,1,procedure/task/performingar_prev_ver.json
"When the client does not provide proof of identity by the Restart date, the officer closes the SIR Non-Match task, creates a new SIR Validation not met - Recommendation to cancel application and person case task.",41,Activity_resume; Age; Appellations; Attention_getting; Being_obligated; Body_movement; Cause_to_resume; Cause_to_start; Closure; Commerce_buy; Containers; Creating; Criminal_investigation; Evidence; Familiarity; Food; Identicality; Identity; Ingest_substance; Instance; Intentionally_act; Intentionally_affect; Intentionally_create; Leadership; Locale_closure; Location_in_time; Measure_volume; Negation; Origin; People; People_by_vocation; Personal_relationship; Process_resume; Reasoning; Sex; Social_event_collective; Supply; Thriving; Touring; Trial; Using,1156; 972; 2390; 305; 392; 16; 1372; 381; 254; 171; 78; 319; 500; 25; 1597; 277; 1029; 3000; 386; 132; 198; 230; 280; 73; 2620; 2141; 155; 2860; 1103; 304; 1071; 102; 148; 308; 2913; 2281; 1346; 1771; 1907; 201; 1141,1,1,procedure/task/annuler_demande_quand-cancel_claim.json
"When there is information in the file that suggests that the client may be entitled to benefits from another source but did not declare it, there is possible misrepresentation, and the officer refers the issue to Integrity.",41,Appellations; Attempt_suasion; Attention_getting; Attributed_information; Awareness_status; Being_named; Commerce_buy; Condition_symptom_relation; Conferring_benefit; Creating; Degree; Emanating; Evidence; Evoking; Grooming; Increment; Information; Leadership; Likelihood; Locative_relation; Name_conferral; Negation; People_by_vocation; Placing; Point_of_dispute; Prevarication; Prohibiting_or_licensing; Reference_text; Referring_by_name; Relational_natural_features; Removing; Self_motion; Sending; Social_event; Source_of_getting; Spatial_co-location; Statement; Submitting_documents; Supply; Text; Topic,2390; 87; 305; 1148; 2593; 228; 171; 2718; 2721; 319; 2001; 361; 25; 1012; 159; 1001; 1591; 73; 114; 199; 221; 2860; 1071; 62; 1608; 287; 521; 1924; 1253; 1490; 63; 64; 243; 125; 1347; 2905; 43; 1521; 1346; 298; 373,1,1,procedure/task/determining_issue_referred_integrity.json
"+Summary:+When+an+issue+arises+that+affects+multiple+parties+in+the+same+way,+these+parties+may+choose+to+file+a+request+for+reconsideration+as+a+group+with+a+representative+case+instead+of+filing+separate+requests.",40,Aggregate; Alternatives; Appellations; Becoming_separated; Choosing; Coming_to_be; Conduct; Containers; Creating; Criminal_investigation; Degree; Differentiation; Direction; Emanating; Feigning; Forming_relationships; Grooming; Identicality; Instance; Leadership; Manner; Means; Measure_volume; Objective_influence; Organization; Placing; Planned_trajectory; Point_of_dispute; Quantified_mass; Reasoning; Removing; Representative; Request; Roadways; Self_motion; Separating; Submitting_documents; Supply; Text; Trial,103; 1931; 2390; 1863; 352; 316; 491; 78; 319; 500; 2001; 24; 215; 361; 12; 723; 159; 1029; 132; 73; 2563; 1790; 155; 1084; 1371; 62; 2566; 1608; 189; 308; 63; 2678; 41; 203; 64; 15; 1521; 1346; 298; 201,1,1,procedure/task/grouprequest.json
A client may choose to terminate the agreement they have entered into to be covered under Part VII Benefits for Self-Employed Persons.,40,Abounding_with; Activity_start; Activity_stop; Arriving; Artifact_subpart; Be_in_agreement_on_action; Be_in_agreement_on_assessment; Becoming_a_member; Choosing; Commerce_buy; Conferring_benefit; Distributed_position; Documents; Eclipse; Filling; Firing; Giving_birth; Goal; Hair_configuration; Have_associated; Hiding_objects; Inclusion; Ingest_substance; Ingestion; Killing; Make_agreement_on_action; Membership; Non-gradable_proximity; Part_whole; Path_shape; People; Performers_and_roles; Possession; Proportional_quantity; Separating; Sex; Social_event; Taking_sides; Topic; Vehicle_subpart,262; 146; 166; 54; 2470; 1380; 1496; 1733; 352; 171; 2721; 76; 560; 652; 59; 326; 281; 1177; 126; 1933; 1673; 1153; 386; 263; 590; 1342; 1026; 2880; 140; 61; 304; 413; 118; 1923; 15; 2913; 125; 1306; 373; 2426,1,1,procedure/generic/rcr_screen_messages.json
A client who indicates the last RFS is illness but does not upload a medical certificate with the application is advised to submit the medical certificate if it indicates that the period the client must be off work is more than 9 weeks.,40,Accuracy; Attempt_suasion; Being_employed; Being_in_operation; Being_operational; Calendric_unit; Commerce_buy; Communication; Condition_symptom_relation; Degree; Dimension; Documents; Duration_relation; Evidence; Frequency; Giving_in; Increment; Indicating; Ingest_substance; Intentionally_act; Intentionally_affect; Labor_product; Locale_by_use; Measure_duration; Medical_conditions; Medical_intervention; Negation; Ordinal_numbers; Relative_time; Sex; Sign; Spatial_contact; Submitting_documents; Telling; Thriving; Touring; Usefulness; Using; Work; Working_a_post,1903; 87; 282; 880; 1200; 229; 171; 6; 2718; 2001; 108; 560; 2121; 25; 80; 1497; 1001; 2090; 386; 198; 230; 2164; 196; 224; 239; 2741; 2860; 1147; 81; 2913; 428; 2890; 1521; 750; 1771; 1907; 726; 1141; 1892; 2603,1,1,procedure/task/examiner_validation-reviewing_validation.json
"A Level 1 officer determines which of the 2 active BPCs to keep in the transfer-in region and the IPOC officer adjusts the file to complete the transfer using APRS, if necessary.",40,Active_substance; Activity_finish; Activity_ongoing; Adjusting; Appellations; Attention_getting; Being_active; Being_necessary; Building_subparts; Cause_motion; Cause_to_continue; Change_tool; Coming_to_believe; Completeness; Compliance; Contingency; Control; Deciding; Destroying; Dimension; Gizmo; Grooming; Ingest_substance; Leadership; Locale; Part_ordered_segments; People_by_vocation; Placing; Process_completed_state; Quantity; Rank; Removing; Retaining; Self_motion; Storing; Submitting_documents; Transfer; Treating_and_mistreating; Using; Using_resource,1322; 165; 164; 1376; 2390; 305; 1540; 1157; 188; 55; 1060; 1173; 23; 1534; 117; 900; 1799; 363; 417; 108; 106; 159; 386; 73; 192; 331; 1071; 62; 234; 2604; 1377; 63; 2800; 64; 1550; 1521; 178; 2770; 1141; 2480,2,1,procedure/task/actioning_transferacpscibr.json
"After a given name is shortened, the spelling may be altered and result in a change to the sound of the remaining syllables in the nickname (e.g. “th” commonly becomes “t” and may also be followed by an “e”).",40,Adducing; Appointing; Artistic_style; Becoming; Being_named; Causation; Cause_change; Cause_to_make_noise; Change_event_duration; Change_post-state; Change_tool; Compliance; Condition_symptom_relation; Cotheme; Earnings_and_losses; Exchange; Exchange_currency; Existence; Fame; Give_impression; Grasp; Indicating; Kinship; Left_to_do; Make_noise; Medical_intervention; Name_conferral; Natural_features; Referring_by_name; Relative_time; Remainder; Replacing; Resolve_problem; Sensation; Sounds; Spelling_and_pronouncing; State_continue; Suitability; Time_vector; Undergo_change,1601; 1925; 2490; 2971; 228; 5; 683; 801; 1770; 3011; 1173; 117; 2718; 56; 1873; 1170; 1184; 660; 1880; 67; 979; 2090; 104; 1041; 69; 2741; 221; 191; 1253; 81; 1030; 1121; 1523; 71; 850; 1081; 1155; 368; 379; 1172,1,1,procedure/generic/given_names_list.json
"After reviewing those factors, if the officer determines the client’s availability is in question, the officer creates an Adjudication Issue (ADJ) WI at the Specialized EI Processing / National Events / National Events / [region where the client lives] level.",40,Appellations; Attention_getting; Building_subparts; Cause_to_start; Coming_to_believe; Commerce_buy; Contingency; Control; Creating; Dead_or_alive; Deciding; Destroying; Dimension; Emanating; Event; Gizmo; Intentionally_create; Leadership; Living_conditions; Locale; Locative_relation; Manner_of_life; Origin; Part_ordered_segments; People_by_jurisdiction; People_by_vocation; Point_of_dispute; Political_locales; Processing_materials; Quantity; Questioning; Rank; Relative_time; Residence; Spatial_co-location; Supply; Surviving; Text; Thriving; Time_vector,2390; 305; 188; 381; 23; 171; 900; 1799; 319; 310; 363; 417; 108; 361; 187; 106; 280; 73; 2564; 192; 199; 2562; 1103; 331; 1023; 1071; 1608; 195; 620; 2604; 40; 1377; 81; 110; 2905; 1346; 1792; 298; 1771; 379,1,1,procedure/generic/severe-weather-events.json
