record_id,text,mapped_frames,primary_frame,primary_frame_id,trigger,verification_rule_score,verification_bert_score,verification_combined_score,verification_candidate_rank,alternative_frame,alternative_rule_score,alternative_bert_score,alternative_combined_score,inspector,unconfirmed_content,medium,means,purpose,frame_elements_json,bert_model,bert_frame_method,bert_frame_status,bert_qa_status,source_occurrence_count,source_document_count,source_documents
11,Verify the status under the Status column of the LMIA Online Employer Dashboard .,Verification; Scrutiny,Verification,1230,Verify,1.0,0.965,0.9965,1,Scrutiny,1.0,0.9643,0.9964,,the status under the Status column,,,,"{""Unconfirmed_content"":{""text"":""the status under the Status column"",""span"":{""start"":7,""end"":41},""implicit"":false,""method"":""bert_qa"",""confidence"":0.0925,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::ecc/temporary_foreign_worker_program/lmia_online/technical_assistance/technical_assistance.json
12,Let me verify your payment information (if applicable).,Verification; Scrutiny,Verification,1230,verify,1.0,0.9454,0.9945,1,Scrutiny,1.0,0.9397,0.994,,payment information,,,,"{""Unconfirmed_content"":{""text"":""payment information"",""span"":{""start"":19,""end"":38},""implicit"":false,""method"":""bert_qa"",""confidence"":0.294,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::common_procedures/procedures/communication_strategies/communication_strategies.json
13,The client must re-register and verify their identity.,Verification; Scrutiny,Verification,1230,verify,1.0,0.9702,0.997,1,Scrutiny,1.0,0.9675,0.9968,client,their identity,,,,"{""Inspector"":{""text"":""client"",""span"":{""start"":4,""end"":10},""implicit"":false,""method"":""bert_qa"",""confidence"":0.5112,""question"":""In the FrameNet frame Verification, the element Inspector means: The individual or individuals that ascertain that the Unconfirmed_content is true. 'His later verification of the facts is certainly beyond reproach.' Who verifies or confirms the information?"",""baseQuestion"":""Who verifies or confirms the information?"",""frameElementDefinition"":""The individual or individuals that ascertain that the Unconfirmed_content is true. 'His later verification of the facts is certainly beyond reproach.'""},""Unconfirmed_content"":{""text"":""their identity"",""span"":{""start"":39,""end"":53},""implicit"":false,""method"":""bert_qa"",""confidence"":0.2946,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,2,2,data2.zip::r_a/procedures/rais/left_menu/mapping_history/mapping_history.json; data2.zip::r_a/toolkit/training/msca_signin_notification_2/mapping_history/mapping_history.json
14,Verify the postal code against the PAYDAC profile.,Verification; Scrutiny,Verification,1230,Verify,1.0,0.9051,0.9905,1,Scrutiny,1.0,0.8929,0.9893,,the postal code against the PAYDAC profile,,,,"{""Unconfirmed_content"":{""text"":""the postal code against the PAYDAC profile"",""span"":{""start"":7,""end"":49},""implicit"":false,""method"":""bert_qa"",""confidence"":0.2053,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::ecc/authentication/roe_orders_validation/roe_orders_validation.json
15,Verify if the Representative Has Been Validated:,Verification; Scrutiny,Verification,1230,Verify,1.0,0.9582,0.9958,1,Scrutiny,1.0,0.9509,0.9951,,Representative Has Been Validated,,,,"{""Unconfirmed_content"":{""text"":""Representative Has Been Validated"",""span"":{""start"":14,""end"":47},""implicit"":false,""method"":""bert_qa"",""confidence"":0.4946,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::cdb/procedures/authentication/rep_authentication/rep_authentication.json
16,"In the General tab, verify the agent's title.",Verification; Scrutiny,Verification,1230,verify,1.0,0.9667,0.9967,1,Scrutiny,1.0,0.9622,0.9962,,title,,tab,,"{""Means"":{""text"":""tab"",""span"":{""start"":15,""end"":18},""implicit"":false,""method"":""rule""},""Unconfirmed_content"":{""text"":""title"",""span"":{""start"":39,""end"":44},""implicit"":false,""method"":""bert_qa"",""confidence"":0.4207,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data2.zip::ei/procedures/determining_authority_level_agent/determining_authority_level_agent.json
17,"If the ADC is before the maternity period that is displayed in FTS, verify if the MSW can be modified.",Verification; Scrutiny,Verification,1230,verify,1.0,0.9613,0.9961,1,Scrutiny,1.0,0.9568,0.9957,,the MSW can be modified.,,FTS,,"{""Means"":{""text"":""FTS"",""span"":{""start"":63,""end"":66},""implicit"":false,""method"":""rule""},""Unconfirmed_content"":{""text"":""the MSW can be modified."",""span"":{""start"":78,""end"":102},""implicit"":false,""method"":""bert_qa"",""confidence"":0.0415,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data2.zip::ei_tier2xp/procedures/maternity_parental/modifications_maternity_parental_benefits/actual_date_confinement_provided/actual_date_confinement_provided.json
18,Pay attention to verify if the ROE has already been corrected before reassigning the WI.,Verification; Scrutiny,Verification,1230,verify,1.0,0.9424,0.9942,1,Scrutiny,1.0,0.9321,0.9932,,the ROE has already been corrected,,ROE,,"{""Means"":{""text"":""ROE"",""span"":{""start"":31,""end"":34},""implicit"":false,""method"":""rule""},""Unconfirmed_content"":{""text"":""the ROE has already been corrected"",""span"":{""start"":27,""end"":61},""implicit"":false,""method"":""bert_qa"",""confidence"":0.2914,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data2.zip::ei_processing_tasks/procedures/processing_tasks_guidance_tier_2_xp_agents/processing_tasks_guidance_tier_2_xp_agents.json
19,"Before deleting a page from the CRT , verify if the page has any interlinks :",Verification; Scrutiny,Verification,1230,verify,1.0,0.9688,0.9969,1,Scrutiny,1.0,0.9676,0.9968,,the page has any interlinks,,,,"{""Unconfirmed_content"":{""text"":""the page has any interlinks"",""span"":{""start"":48,""end"":75},""implicit"":false,""method"":""bert_qa"",""confidence"":0.2849,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::cmo/content_management_office_guide/deleting_a_crt_page/deleting_a_crt_page.json
20,"However, they must ensure that the ROE has been issued by verifying in MSCA .",Verification; Scrutiny,Verification,1230,verifying,1.0,0.9609,0.9961,1,Scrutiny,1.0,0.9518,0.9952,,in MSCA,,ROE,,"{""Means"":{""text"":""ROE"",""span"":{""start"":35,""end"":38},""implicit"":false,""method"":""rule""},""Unconfirmed_content"":{""text"":""in MSCA"",""span"":{""start"":68,""end"":75},""implicit"":false,""method"":""bert_qa"",""confidence"":0.0935,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data2.zip::ei/procedures/record_employment_roe/record_employment_roe.json
21,This procedure provides guidance on how to verify the claimant's identity.,Verification; Scrutiny,Verification,1230,verify,1.0,0.9695,0.997,1,Scrutiny,1.0,0.9705,0.9971,,claimant's identity,,,,"{""Unconfirmed_content"":{""text"":""claimant's identity"",""span"":{""start"":54,""end"":73},""implicit"":false,""method"":""bert_qa"",""confidence"":0.3856,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data2.zip::ei/procedures/authentication_security/verify_claimants_identity/verify_claimants_identity.json
