sentence,status,confidence,canonicalFrameCount,canonicalFrames,structuredKnowledge,rulesApplied,reviewCandidates,explicitlySuppressedFrames,rawFrameCount,rawFrames,occurrenceCount,sourceDocumentCount,sourceDocuments
"In this situation, the Level 2 officer must adjudicate the unreported voluntary leaving and completes all the necessary actions relating to the Claim Review (CR) Integrity WI.",canonical_frame,high,3,Activity_finish; Imposing_obligation; Submitting_documents,,administrative_document_submission; explicit_procedural_duty; fallback_Activity_finish,Giving,,29,Abandonment; Activity_finish; Appellations; Attention_getting; Being_necessary; Being_obligatory; Building_subparts; Causation; Claim_ownership; Condition_symptom_relation; Departing; Destroying; Dimension; Forming_relationships; Giving; Gizmo; Intentionally_act; Leadership; Legal_rulings; Part_ordered_segments; Path_shape; People_by_vocation; Predicting; Quantified_mass; Quantity; Quitting; Rank; Relating_concepts; Statement,1,1,procedure/task/aic_voluntary_leaving.json
"In very specific cases where the agent notices that the original decision has been completely rescinded to the advantage of the client through a revised registration or recalculation, there is no need to continue with the reconsideration under EIA 112 process.",needs_review,low,0,,,,Deciding; Have_as_requirement,,29,Active_substance; Activity_done_state; Activity_ongoing; Becoming_aware; Commerce_buy; Containers; Criminal_investigation; Deciding; Degree; Have_as_requirement; Instance; Intentionally_act; Locative_relation; Means; Measure_volume; Needing; Non-gradable_proximity; People_by_vocation; Process; Process_continue; Processing_materials; Proportional_quantity; Reasoning; Required_event; Spatial_co-location; Specific_individual; Time_vector; Trial; Used_up,1,1,procedure/task/assessing_ar_id.json
"Instead, if clients have insurable employment in the QP with a contentious RFS and a BPC between w/c 2310 and w/c 2361 when they apply for self-employed (SE) or fishing benefits, the officer must adjudicate the contentious RFS following normal adjudication procedures.",canonical_frame,high,3,Being_employed; Imposing_obligation; Request,,explicit_procedural_duty; employment_status; fallback_Request,,Unemployment_rate,29,Appellations; Attention_getting; Being_employed; Come_into_effect; Commerce_buy; Compliance; Conferring_benefit; Cotheme; Employing; Giving_birth; Grasp; Have_associated; Hunting; Inclusion; Ingest_substance; Ingestion; Interior_profile_relation; Leadership; Legal_rulings; Means; People_by_vocation; Possession; Relative_time; Sex; Social_event; Time_vector; Typicality; Unemployment_rate; Using,1,1,procedure/task/dismissal_ds_ic.json
"Instead, if clients have insurable employment in the QP with a contentious RFS and a BPC between w/c 2310 and w/c 2361 when they apply for self-employment (SE) or fishing benefits, the officer must adjudicate the contentious RFS following normal adjudication procedures.",canonical_frame,high,3,Being_employed; Imposing_obligation; Request,,explicit_procedural_duty; employment_status; fallback_Request,,Unemployment_rate,29,Appellations; Attention_getting; Being_employed; Come_into_effect; Commerce_buy; Compliance; Conferring_benefit; Cotheme; Employing; Giving_birth; Grasp; Have_associated; Hunting; Inclusion; Ingest_substance; Ingestion; Interior_profile_relation; Leadership; Legal_rulings; Means; People_by_vocation; Possession; Relative_time; Sex; Social_event; Time_vector; Typicality; Unemployment_rate; Using,2,2,procedure/activity/voluntary_leaving.json; procedure/task/adjudicating_loa_l2.json
Issue: Select Integrity Officers not working on this specialized profile reassign the WI to the level Specialized EI Processing / ISB Post Audit Processing .,needs_review,low,0,,,,Being_employed,,29,Appellations; Assigned_location; Attention_getting; Being_employed; Being_operational; Building_subparts; Choosing; Creating; Destroying; Dimension; Emanating; Gizmo; Leadership; Negation; Part_ordered_segments; People_by_vocation; Point_of_dispute; Processing_materials; Quantity; Rank; Sending; Sent_items; Supply; Text; Time_vector; Usefulness; Version_sequence; Work; Working_a_post,1,1,procedure/generic/agent_reassignment.json
It is essential that a client who is reluctant to provide the necessary information does not feel pressured to complete the security check.,canonical_frame,medium,1,Giving,,fallback_Giving,Activity_finish; Scrutiny,,29,Activity_finish; Attempt_suasion; Being_at_risk; Being_necessary; Commerce_buy; Completeness; Degree; Desiring; Feeling; Give_impression; Information; Ingest_substance; Inspecting; Intentionally_act; Intentionally_affect; Negation; Opinion; Perception_active; Perception_experience; Preventing_or_letting; Process_completed_state; Scrutiny; Seeking; Sensation; Sex; Supply; Thriving; Touring; Willingness,1,1,procedure/generic/validating_cict.json
"It is generated every time an agent inputs a T070-1 with a SIN for which the Manual Pay tab was previously inaccessible, indicating that no MPS record existed before the T070 input.",needs_review,low,0,,,,Cause_to_start; Communication; Evidence,,29,Active_substance; Cause_to_start; Commerce_pay; Communication; Condition_symptom_relation; Creating; Degree; Event_instance; Evidence; Existence; Frequency; Giving_birth; Having_or_lacking_access; Imprisonment; Indicating; Intentionally_act; Intentionally_create; Location_in_time; Measure_duration; Medical_intervention; Misdeed; People_by_vocation; Recording; Records; Sign; Temporal_pattern; Text; Time_vector; Timespan,1,1,procedure/activity/tax_error_warning.json
It is only used to identify claims that have been adjudicated and allowed for the issue of outside Canada.,no_domain_frame,low,0,,,,,,29,Categorization; Claim_ownership; Creating; Degree; Emanating; Giving_birth; Have_associated; Inclusion; Indicating; Ingest_substance; Ingestion; Interior_profile_relation; Legal_rulings; Part_inner_outer; Point_of_dispute; Possession; Predicting; Prevent_or_allow_possession; Preventing_or_letting; Prohibiting_or_licensing; Sex; Sole_instance; Statement; Supply; Text; Treating_and_mistreating; Using; Using_resource; Verification,2,2,procedure/generic/disentitlement_skeleton_claims.json; procedure/generic/eiortjobaid_dds.json
It may be useful to identify the officer who will receive the WIs using the unique identifier to help find the appropriate reference code.,canonical_frame,medium,1,Deny_or_grant_permission,,fallback_Deny_or_grant_permission,Coming_to_believe; Giving; Receiving,,29,Achieving_first; Appellations; Arriving; Assistance; Attention_getting; Becoming_aware; Being_located; Categorization; Coming_to_believe; Coming_up_with; Desiring; Documents; Giving; Idiosyncrasy; Indicating; Ingest_substance; Law; Leadership; Locating; People_by_vocation; Receiving; Regard; Suitability; Treating_and_mistreating; Usefulness; Using; Using_resource; Verdict; Verification,1,1,procedure/generic/specialized_application_reference_code_ar.json
Level 2 officers are informed of restrictions on the client’s availability for work by an Adjudication Issue (ADJ) WI or a Claim Review (CR) Revised WI.,canonical_frame,medium,1,Communication,,fallback_Communication,Being_employed; Reporting,,29,Appellations; Attention_getting; Being_employed; Being_operational; Building_subparts; Claim_ownership; Commerce_buy; Creating; Destroying; Dimension; Emanating; Gizmo; Labor_product; Leadership; Locale_by_use; Part_ordered_segments; People_by_vocation; Point_of_dispute; Predicting; Quantity; Rank; Reporting; Statement; Supply; Telling; Text; Usefulness; Work; Working_a_post,1,1,procedure/task/availability_adj_res.json
"MM06 SIN: Change — Transaction Summary: When clients report that their SIN has changed, the Level 1 agent must replace the old SIN on the clients’ EI records with the new SIN.",canonical_frame,high,2,Cause_change; Imposing_obligation,,explicit_procedural_duty; agent_causes_administrative_change,Reporting,Change_tool; Exchange; Exchange_currency; Replacing,29,Active_substance; Age; Building_subparts; Cause_change; Change_post-state; Change_tool; Commerce_buy; Commercial_transaction; Degree; Destroying; Dimension; Exchange; Exchange_currency; Familiarity; Gizmo; Intentionally_act; Misdeed; Part_ordered_segments; People_by_vocation; Quantity; Rank; Recording; Records; Replacing; Reporting; Statement; Take_place_of; Text; Undergo_change,2,2,procedure/generic/ar_index_ti_gt.json; procedure/generic/mm06_transactions.json
"MM06 Training: Change to the end date of referred training (MPS claim) — Transaction Summary: If it is an MPS claim (Status 8), the agent sends an Operational Centre Memo (MM06) so that the IPOC agent modifies the referred training end date in the MPS claim.",canonical_frame,high,2,Activity_finish; Cause_change,,agent_causes_administrative_change; fallback_Activity_finish,,Change_tool; Exchange; Exchange_currency; Replacing,29,Active_substance; Being_in_operation; Being_operational; Causation; Cause_change; Cause_to_end; Change_tool; Claim_ownership; Commercial_transaction; Death; Degree; Education_teaching; Exchange; Exchange_currency; Food; Intentionally_act; Location_in_time; Origin; People_by_vocation; Personal_relationship; Predicting; Process_end; Replacing; Sending; Social_event_collective; Statement; Temporal_subregion; Undergo_change; Using,2,2,procedure/generic/ar_index_ti_gt.json; procedure/generic/mm06_transactions.json
"Monies that are allocated to the pay period in which they are paid (such as bonuses, controlled tips or vacation pay where no time is taken) can be used to determine the VBW if the weeks fall within the QP.",canonical_frame,high,1,Assessing,,determine_numeric_or_eligibility_assessment,Deciding,Coming_to_believe; Contingency; Control,29,Calendric_unit; Change_position_on_a_scale; Coming_to_believe; Commerce_pay; Conquering; Contingency; Control; Deciding; Degree; Event_instance; Experiencer_focus; Frequency; Imprisonment; Ingest_substance; Interior_profile_relation; Location_in_time; Locative_relation; Measure_duration; Motion_directional; Part_orientational; Spatial_co-location; Temporal_collocation; Temporal_pattern; Temporary_leave; Timespan; Treating_and_mistreating; Using; Using_resource; Within_distance,1,1,procedure/generic/knowledge.json
Motor vehicle accident compensation payments are not considered earnings when they are meant to cover a period after the accident in which the client has accumulated enough hours of insurable employment to establish a BP.,canonical_frame,high,1,Being_employed,,employment_status,,Unemployment_rate,29,Amassing; Being_employed; Bringing; Calendric_unit; Catastrophe; Categorization; Cogitation; Coincidence; Commerce_buy; Commerce_pay; Distributed_position; Earnings_and_losses; Eclipse; Employing; Filling; Frequency; Hiding_objects; Intentionally_create; Measure_duration; Negation; Operate_vehicle; Protecting; Relative_time; Sufficiency; Time_vector; Topic; Unemployment_rate; Using; Vehicle,1,1,procedure/task/mod_all_inc_monies.json
"New and updated: Post-EI ERB and Specialized ACP process — Procedures (All levels) Procedures have been updated to support the specialized ACP process implemented on September 27, 2020 to streamline the processing of regular and sickness benefits.",needs_review,low,0,,,,Evidence,,29,Age; Building_subparts; Calendric_unit; Conferring_benefit; Destroying; Dimension; Evidence; Execute_plan; Familiarity; Funding; Giving_birth; Gizmo; Have_associated; Inclusion; Ingest_substance; Ingestion; Means; Medical_conditions; Part_ordered_segments; Possession; Process; Processing_materials; Quantified_mass; Quantity; Rank; Sex; Social_event; Supporting; Taking_sides,1,1,procedure/generic/covidhu.json
"Next, the officer inputs an Adjust Debt transaction on the $600 converted OP to reduce it by the value of the partial write-off amount that does not exceed the OP balance converted to PSCD.",needs_review,low,0,,,,Assessing; Cause_change,,29,Adjusting; Amounting_to; Appellations; Assessing; Attention_getting; Being_in_category; Cause_change; Cause_change_of_position_on_a_scale; Commercial_transaction; Conquering; Degree; Exchange_currency; Ingest_substance; Intentionally_act; Intentionally_affect; Judgment; Leadership; Negation; Partiality; People_by_vocation; Quantified_mass; Quantity; Relative_time; Sex; Surpassing; Thriving; Touring; Undergo_transformation; Usefulness,1,1,procedure/task/adjudicating_write_off.json
"Non-complex agents review the record of decision (ROD) to obtain the issue to include in the letter as well as the employer name, language and address.",canonical_frame,medium,3,Giving; Receiving; Scrutiny,,fallback_Scrutiny; fallback_Receiving; fallback_Giving,Deciding; Resolve_problem,,29,Active_substance; Adducing; Appointing; Being_named; Cause_to_be_included; Condition_symptom_relation; Creating; Deciding; Desirability; Emanating; Employing; Fame; Getting; Inclusion; Indicating; Intentionally_act; Kinship; Name_conferral; People_by_vocation; Point_of_dispute; Recording; Records; Referring_by_name; Resolve_problem; Speak_on_topic; Statement; Supply; Text; Topic,1,1,procedure/task/cor_auto_trig_fail.json
"Note: If an OP was created due to a retroactive RFS decision and the employer is an interested party, the officer must not include a copy of the Notice of Debt or any reference to an OP as this information must not be shared with the employer.",canonical_frame,high,1,Imposing_obligation,,explicit_procedural_duty,Cause_to_start; Communication; Deciding,,29,Aggregate; Appellations; Attention_getting; Becoming_aware; Cause_to_be_included; Cause_to_start; Commonality; Communication; Condition_symptom_relation; Creating; Deciding; Desiring; Duplication; Employing; Experiencer_focus; Experiencer_obj; Imitating; Inclusion; Information; Intentionally_create; Leadership; Mental_stimulus_exp_focus; Negation; Participation; People_by_vocation; Quantified_mass; Sharing; Social_event; Statement,1,1,procedure/generic/docs_recon_file.json
Notification that a claim requires individual review following the input of a special condition code to prevent the report from being processed during the utilization report (UR) process.,canonical_frame,high,1,Have_as_requirement,,objective_prerequisite,Imposing_obligation; Reporting,Needing,29,Claim_ownership; Compliance; Cotheme; Degree; Degree_of_processing; Entity; Grasp; Have_as_requirement; Imposing_obligation; Law; Means; Medical_conditions; Medical_intervention; Needing; People; Predicting; Preventing_or_letting; Process; Processing_materials; Relative_time; Reporting; State_of_entity; Statement; Telling; Temporal_collocation; Terms_of_agreement; Text; Thwarting; Time_vector,1,1,procedure/generic/ipoc_sys_notificiation_wi_it_description_corresponding_eds_reports_table.json
NWS generates an IPOC SN Work-Sharing - Special condition WI the following day for the IPOC officer to review the reject and manually input a Manual Action - Claimant’s Reports (T045) transaction to process the declaration.,needs_review,low,0,,,,Cause_to_start; Reporting,,29,Appellations; Attention_getting; Calendric_unit; Cause_to_start; Commercial_transaction; Compliance; Cotheme; Creating; Giving_birth; Grasp; Intentionally_act; Intentionally_create; Leadership; Location_in_time; Means; Measure_duration; Medical_conditions; People_by_vocation; Process; Processing_materials; Relative_time; Reporting; Respond_to_proposal; State_of_entity; Statement; Terms_of_agreement; Text; Time_vector; Timespan,1,1,procedure/generic/ws_coding_utilization_report.json
"NWS generates an IPOS System Notification (IPOC SN) Violation changed - Blocked claim WI on each Friday for any dormant, blocked, archived or MPS claim that is potentially affected by a violation change.",canonical_frame,high,1,Cause_change,,agent_causes_administrative_change,Cause_to_start,Change_tool; Exchange; Exchange_currency; Replacing,29,Calendric_unit; Cause_change; Cause_to_start; Change_post-state; Change_tool; Claim_ownership; Compliance; Creating; Degree; Eclipse; Exchange; Exchange_currency; Feigning; Giving_birth; Gizmo; Having_or_lacking_access; Hiding_objects; Hindering; Intentionally_create; Objective_influence; Placing; Predicting; Quantified_mass; Replacing; Set_of_interrelated_entities; Statement; System; Telling; Undergo_change,1,1,procedure/task/modify_rescind_violation.json
Officers may refer clients to the following site: Social Insurance Number — What you need before you apply .,needs_review,low,0,,,,Have_as_requirement,,29,Amounting_to; Appellations; Attention_getting; Be_subset_of; Cardinal_numbers; Come_into_effect; Commerce_buy; Compliance; Cotheme; Entity; Grasp; Have_as_requirement; Leadership; Locale; Locale_by_event; Locale_by_use; Needing; People_by_vocation; Quantified_mass; Quantity; Reference_text; Referring_by_name; Relative_time; Required_event; Sending; Social_event; Time_vector; Topic; Using,1,1,procedure/task/multiple_nm_elements.json
Officers verify any claim for benefits from a client who had a 900-series SIN during the QP to determine if an insurability ruling is required.,canonical_frame,high,3,Deciding; Evidence; Scrutiny,,determine_administrative_decision; fallback_Scrutiny; fallback_Evidence,Have_as_requirement; Imposing_obligation,Coming_to_believe; Contingency; Control,29,Appellations; Attention_getting; Being_in_control; Being_necessary; Claim_ownership; Coming_to_believe; Commerce_buy; Conferring_benefit; Contingency; Control; Deciding; Documents; Dominate_situation; Evidence; Have_as_requirement; Imposing_obligation; Leadership; Legal_rulings; Misdeed; Needing; People_by_vocation; Predicting; Quantified_mass; Sequence; Social_event; Statement; Temporal_collocation; Verdict; Verification,1,1,procedure/task/deter_entitlement_900series_sin.json
"On an incoming call, the client must provide the officer with their name and full SIN.",canonical_frame,high,1,Imposing_obligation,,explicit_procedural_duty,Request,,29,Abounding_with; Adducing; Appellations; Appointing; Attention_getting; Being_named; Biological_urge; Claim_ownership; Commerce_buy; Communication_means; Completeness; Contacting; Deserving; Fame; Feeling; Fullness; Indicating; Kinship; Labeling; Leadership; Misdeed; Name_conferral; People_by_vocation; Referring_by_name; Request; Simple_naming; Stimulus_focus; Supply; Visiting,1,1,procedure/generic/validating_cict.json
"On the Business Partner Address screen, determine if the Address Details and Phone numbers sections require updating:",needs_review,low,0,,,,Coming_to_believe; Deciding; Have_as_requirement; Imposing_obligation; Resolve_problem,,29,Amounting_to; Artifact; Be_subset_of; Businesses; Cardinal_numbers; Co-association; Collaboration; Coming_to_believe; Communication_means; Contacting; Contingency; Control; Deciding; Eclipse; Have_as_requirement; Imposing_obligation; Information; Needing; Part_whole; Personal_relationship; Quantified_mass; Quantity; Referring_by_name; Resolve_problem; Separating; Speak_on_topic; Statement; Temporary_group; Topic,2,1,procedure/task/creating_a_debt_in_pscd.json
"On the Resolve Issue tab of the ADJ WI, complete the Level 1 Voluntary leaving or the Level 1 Dismissal as follows:",canonical_frame,medium,1,Resolve_problem,,fallback_Resolve_problem,Activity_finish; Giving,,29,Abandonment; Activity_finish; Being_obligatory; Building_subparts; Causation; Completeness; Compliance; Cotheme; Creating; Departing; Destroying; Dimension; Emanating; Firing; Forming_relationships; Giving; Gizmo; Grasp; Part_ordered_segments; Path_shape; Point_of_dispute; Process_completed_state; Quantity; Quitting; Rank; Relative_time; Resolve_problem; Supply; Text,1,1,procedure/task/defer_adj_renewal_regular_ben.json
"On the SSO Name and Address screen, the Ordinary place of residence different field must indicate Yes .",canonical_frame,high,2,Evidence; Imposing_obligation,,explicit_procedural_duty; fallback_Evidence,Communication; Resolve_problem,,29,Adducing; Appointing; Assigned_location; Being_named; Buildings; Capital_stock; Communication; Condition_symptom_relation; Eclipse; Evidence; Fame; Fields; Identicality; Indicating; Kinship; Locale; Locale_by_event; Locale_by_use; Medical_intervention; Name_conferral; Placing; Referring_by_name; Resolve_problem; Sign; Similarity; Speak_on_topic; Statement; Topic; Typicality,1,1,procedure/task/cs_reg.json
"Once a misrepresentative decision applies to a week of regular benefits, only update the Amount and Rate fields for misrepresentative decisions that result in a UP or an OP adjustment.",structured_non_frame,high,0,,rate_or_ratio,rate_is_structured_quantity,Deciding; Resolve_problem,Assessing; Price_per_unit; Proportion; Rate_quantification; Relational_quantity; Speed_description,29,Adjusting; Amounting_to; Assessing; Being_in_category; Calendric_unit; Causation; Come_into_effect; Condition_symptom_relation; Conferring_benefit; Deciding; Degree; Earnings_and_losses; Event_instance; Fields; Locale_by_event; Locale_by_use; Measure_duration; Medical_intervention; Price_per_unit; Proportion; Quantified_mass; Quantity; Rate_quantification; Relational_quantity; Resolve_problem; Social_event; Sole_instance; Speed_description; Using,1,1,procedure/generic/pay_history_summary_mod.json
"One or both parents may instead want to apply immediately for benefits that they are entitled to receive from one of the plans (EI or QPIP) for the second event, even if there are still weeks remaining to be paid by the other plan for the first event.",needs_review,low,0,,,,Receiving,,29,Being_named; Calendric_unit; Come_into_effect; Conferring_benefit; Continued_state_of_affairs; Degree; Desiring; Event; Existence; First_experience; Increment; Kinship; Left_to_do; Locative_relation; Making_arrangements; Measure_duration; Name_conferral; Ordinal_numbers; Possession; Prohibiting_or_licensing; Project; Purpose; Quantified_mass; Receiving; Remainder; Social_event; Spatial_co-location; State_continue; Using,1,1,procedure/generic/qpip_knowledge.json
"Payments made for any other reason (e.g. wage loss insurance, paid vacation, liquidation of accumulated sick leave credits when the reason for separation (RFS) is not sickness, maternity leave payments or payments made for the care of a child) do not allow the WP to be waived.",needs_review,low,0,,,,Deny_or_grant_permission; Giving,,29,Abandonment; Amassing; Appellations; Biological_urge; Causation; Commerce_pay; Deny_or_grant_permission; Departing; Desiring; Earnings_and_losses; Finish_competition; Forming_relationships; Giving; Increment; Killing; Kinship; Medical_conditions; Negation; Path_shape; People_by_age; Prevent_or_allow_possession; Preventing_or_letting; Prohibiting_or_licensing; Quantified_mass; Quitting; Reason; Reasoning; Statement; Temporary_leave,1,1,procedure/task/determining_ccc_wpwpslqpipp.json
"Previously, a Level 1 officer established claims for family caregiver benefits for children in CPS but could not issue payments.",no_domain_frame,low,0,,,,,,29,Aggregate; Appellations; Attention_getting; Biological_classification; Building_subparts; Claim_ownership; Commerce_pay; Conferring_benefit; Creating; Destroying; Dimension; Emanating; Gizmo; Intentionally_create; Kinship; Leadership; Negation; Part_ordered_segments; People_by_vocation; Point_of_dispute; Possibility; Predicting; Quantity; Rank; Social_event; Statement; Supply; Text; Time_vector,1,1,procedure/task/converting_active_claim_cps_mps.json
"Refer to Adjudicating availability — Preference or restriction and reasonable period to adjudicate the client’s availability for the weeks the client does not work, and to complete the transactions and WI.",needs_review,low,0,,,,Activity_finish; Being_employed,,29,Activity_finish; Being_employed; Being_operational; Calendric_unit; Commerce_buy; Commercial_transaction; Completeness; Dimension; Frequency; Ingest_substance; Intentionally_act; Intentionally_affect; Labor_product; Legal_rulings; Locale_by_use; Measure_duration; Mental_property; Negation; Process_completed_state; Reference_text; Referring_by_name; Sending; Sex; Thriving; Topic; Touring; Usefulness; Work; Working_a_post,1,1,procedure/task/adjucating_leave_laydays.json
Refer to Assembling the reconsideration file following a negative decision under EIA 112 and then return to step 17 to input transactions in ADMS.,needs_review,low,0,,,,Deciding; Submitting_documents,,29,Arriving; Assemble; Attitude_description; Building; Come_together; Commercial_transaction; Compliance; Connecting_architecture; Cotheme; Creating; Deciding; Gathering_up; Grasp; Grooming; Intentionally_act; Non-gradable_proximity; Placing; Proportional_quantity; Reference_text; Referring_by_name; Relative_time; Removing; Resurrection; Self_motion; Sending; Submitting_documents; Temporal_collocation; Time_vector; Topic,1,1,procedure/task/delayeddr.json
refusal to accept employment or failure to take advantage of a job opportunity if the reasons for doing so are work-related,canonical_frame,high,1,Being_employed,,employment_status,Have_as_requirement; Receiving,Unemployment_rate,29,Agree_or_refuse_to_act; Being_employed; Being_obligated; Bringing; Capacity; Causation; Conquering; Create_physical_artwork; Employing; Have_as_requirement; Ingest_substance; Intentionally_act; Intentionally_affect; Opinion; Opportunity; Reason; Reasoning; Receiving; Removing; Respond_to_proposal; Ride_vehicle; Sex; Success_or_failure; Taking; Taking_time; Thriving; Touring; Unemployment_rate; Using,2,2,procedure/task/performingar.json; procedure/task/performingar_prev_ver.json
"Regardless of the issues and method the client uses to resolve them, settlement payments received as a result of these proceedings can be earnings for benefit purposes and can be allocated to the client’s benefit period (BP) under EIA 45 or EIA 46 .",canonical_frame,medium,2,Giving; Receiving,,fallback_Receiving; fallback_Giving,Resolve_problem,,29,Alternatives; Causation; Colonization; Commerce_buy; Commerce_pay; Condition_symptom_relation; Conferring_benefit; Creating; Earnings_and_losses; Emanating; Frequency; Ingest_substance; Inherent_purpose; Locale_by_use; Means; Medical_intervention; Non-gradable_proximity; Point_of_dispute; Proportional_quantity; Purpose; Receiving; Resolve_problem; Social_event; Supply; Text; Tool_purpose; Treating_and_mistreating; Using; Using_resource,1,1,procedure/task/allocating_settlement_repartir_reglement.json
"Regardless of the method used, the IPOC officer must follow the instructions on the MM06, address any secondary claim issues and ensure the outcome is accurate.",canonical_frame,high,1,Imposing_obligation,,explicit_procedural_duty,Resolve_problem,,29,Accuracy; Appellations; Attention_getting; Claim_ownership; Compliance; Correctness; Cotheme; Creating; Education_teaching; Emanating; Grasp; Ingest_substance; Leadership; Means; People_by_vocation; Point_of_dispute; Predicting; Quantified_mass; Referring_by_name; Relative_time; Resolve_problem; Speak_on_topic; Statement; Supply; Text; Topic; Treating_and_mistreating; Using; Using_resource,1,1,procedure/activity/purge_recreate.json
Review the Employment History File for each ROE that overlaps the COD to determine the number of hours that fall in the QP.,canonical_frame,high,3,Assessing; Scrutiny; Submitting_documents,,administrative_document_submission; determine_numeric_or_eligibility_assessment; fallback_Scrutiny,Being_employed; Deciding,Coming_to_believe; Contingency; Control; Grooming; Placing,29,Amounting_to; Be_subset_of; Being_employed; Calendric_unit; Cardinal_numbers; Change_position_on_a_scale; Coming_to_believe; Conquering; Contingency; Control; Deciding; Degree; Employing; Fields; Grooming; History; Individual_history; Measure_duration; Motion_directional; Out_of_existence; Placing; Quantified_mass; Quantity; Removing; Self_motion; Submitting_documents; Text; Unemployment_rate; Using,2,1,procedure/task/perf-rec-eia112-eierb-cra.json
Select the Name and Address Change/Transfer (M159) transaction and correct the information as follows:,needs_review,low,0,,,,Cause_change; Replacing; Resolve_problem,,29,Adducing; Appointing; Being_named; Cause_change; Cause_motion; Change_tool; Choosing; Commercial_transaction; Compliance; Correctness; Cotheme; Exchange; Exchange_currency; Fame; Grasp; Indicating; Information; Kinship; Name_conferral; Referring_by_name; Relative_time; Replacing; Resolve_problem; Speak_on_topic; Statement; Suitability; Topic; Transfer; Undergo_change,1,1,procedure/task/pip_npepp.json
Select the Name and Address Change/Transfer (M159) transaction and rescind the Address review field as follows:,needs_review,low,0,,,,Cause_change; Replacing; Resolve_problem,,29,Adducing; Appointing; Being_named; Cause_change; Cause_motion; Change_tool; Choosing; Commercial_transaction; Compliance; Cotheme; Exchange; Exchange_currency; Fame; Fields; Grasp; Indicating; Kinship; Locale_by_event; Locale_by_use; Name_conferral; Referring_by_name; Relative_time; Replacing; Resolve_problem; Speak_on_topic; Statement; Topic; Transfer; Undergo_change,6,1,procedure/task/change_address_aaitwi.json
Select the Name and Address Change/Transfer (M159) transaction to change the address and transfer the claim to the appropriate ITC as follows:,needs_review,low,0,,,,Cause_change; Replacing; Resolve_problem,,29,Adducing; Appointing; Being_named; Cause_change; Cause_motion; Change_tool; Choosing; Claim_ownership; Commercial_transaction; Compliance; Cotheme; Exchange; Exchange_currency; Fame; Grasp; Indicating; Kinship; Name_conferral; Predicting; Referring_by_name; Relative_time; Replacing; Resolve_problem; Speak_on_topic; Statement; Suitability; Topic; Transfer; Undergo_change,3,1,procedure/task/adjudicating_integrity_case_transferring_ei_claims_to_client_info_tech_centre.json
Select the Name and Address Change/Transfer (M159) transaction to transfer the claim to the appropriate ITC as follows:,needs_review,low,0,,,,Cause_change; Replacing; Resolve_problem,,29,Adducing; Appointing; Being_named; Cause_change; Cause_motion; Change_tool; Choosing; Claim_ownership; Commercial_transaction; Compliance; Cotheme; Exchange; Exchange_currency; Fame; Grasp; Indicating; Kinship; Name_conferral; Predicting; Referring_by_name; Relative_time; Replacing; Resolve_problem; Speak_on_topic; Statement; Suitability; Topic; Transfer; Undergo_change,3,1,procedure/task/adjudicating_integrity_case_transferring_ei_claims_to_client_info_tech_centre.json
"Shortened, “th” changed to “t” followed by “e”, resulting in a change from short to long vowel sound",needs_review,low,0,,,,Cause_change; Replacing,,29,Artistic_style; Body_description_holistic; Causation; Cause_change; Cause_to_make_noise; Change_event_duration; Change_post-state; Change_tool; Compliance; Condition_symptom_relation; Cotheme; Desiring; Dimension; Duration_description; Exchange; Exchange_currency; Give_impression; Grasp; Likelihood; Make_noise; Measurable_attributes; Medical_intervention; Natural_features; Relative_time; Replacing; Sensation; Sounds; Spelling_and_pronouncing; Undergo_change,1,1,procedure/generic/given_names_list.json
"Since the new and old paper claimant’s reports must be separated and directed to 2 different places, they need to be put in separate containers inside the first container.",canonical_frame,high,1,Imposing_obligation,,explicit_procedural_duty,Have_as_requirement; Reporting,,29,Age; Aiming; Assigned_location; Becoming_separated; Behind_the_scenes; Businesses; Causation; Containers; Differentiation; Encoding; Familiarity; First_experience; Forming_relationships; Have_as_requirement; Identicality; Interior_profile_relation; Locale; Needing; Ordinal_numbers; Part_inner_outer; Placing; Reporting; Required_event; Separating; Similarity; Statement; Substance; Text; Time_vector,1,1,procedure/task/pack_ship_paper_claim_report_imag_ipoc.json
Some of the claims in the specialized ACP process have a paper application in the Client information tree because the client was automatically enrolled after exhausting an EI Emergency Response Benefit (EI ERB) claim.,canonical_frame,medium,1,Request,,fallback_Request,,,29,Becoming_a_member; Businesses; Claim_ownership; Commerce_buy; Communication_response; Conferring_benefit; Emergency; Expend_resource; Giving_birth; Have_associated; Inclusion; Information; Ingest_substance; Ingestion; Means; Plants; Possession; Predicting; Process; Processing_materials; Relative_time; Response; Sex; Social_event; Statement; Substance; Text; Time_vector; Using,2,2,procedure/activity/post_eierb_assessment_issue_wi_unique_specialized_acp_process.json; procedure/task/completing_assessment_issue_bpne_wi.json
