dataset,node_id,source_file,body_type,is_in_duplicate_pair,is_in_duplicate_or_included_pair,text_preview
KMT bodies EN,dita_body:7a9c3c01622b14c2dc2b,en/KA-02223_EN/ka-02223_exceptions_and_special_cases.dita,conbody,yes,yes,There are no exceptions or special cases. (KA-01098 Snippet 12.0 content. Do not modify or delete.)
KMT bodies EN,dita_body:e79fe0eb2c27074fb9df,en/KA-02368_EN/ka-02368_recover_an_overpayment_from_an_underpay_3d284923.dita,taskbody,no,no,"Apply the arrears to the outstanding overpayment. Refer to the Section 23 - Deductions of the OAS Online System Users Manual External link . OAS Online System Users Manual Adjust the applicable YTD Adjustments fields on the T4A screen to reflect the amount of the underpayment applied to the overpayment. Refer to Section 11 - Cancel/Suspend/Year-to-Date Adjustments and Death Data of the OAS Online System Users Manual External link . OAS Online System Users Manual Complete the Undue Hardship, Defe"
KMT bodies EN,dita_body:48bdb2275509d2f94c62,en/KA-01777_EN/ka-01777_is_the_applicant_or_their_spouse_or_com_e5a3b220.dita,conbody,yes,yes,"If yes, Incarceration—Limiting Payment of OAS Pension and Benefits (Scenario)"
KMT bodies EN,dita_body:384f7d7155b6be4229a5,en/KA-04991_EN/ka-04991_what_this_means_for_you.dita,conbody,no,no,"Every year, tens of thousands of seniors have their Guaranteed Income Supplement (GIS), Allowance (ALW) or Allowance for the Survivor (ALWS) benefit increased or decreased to reflect changes in their net income. As these benefits are calculated on the basis of the previous year's income, any change in income in a given year will result in an adjustment of benefits in the following July to June payment period. Pandemic-related benefits, such as the Canada Emergency Response Benefit (CERB), the Em"
KMT bodies EN,dita_body:0336c733e130029596ee,en/KA-05468_EN/ka-05468_view_a_cash_receipt_from_an_overpayment_case.dita,taskbody,no,no,"In Cúram, go to client's profile. Refer to Search for a Person in Cúram (Action) . Search for a Person in Cúram (Action) Click the Cases and Applications tab. Click Cases in the page group navigation bar on the left. Go to the overpayment case. Refer to Overpayment (Manual) Case—Add, View, Edit, Suspend and Delete in Cúram (Action) . Overpayment (Manual) Case—Add, View, Edit, Suspend and Delete in Cúram (Action) Click the Financials tab. Click the Transactions tab in the page group navigation ba"
KMT bodies EN,dita_body:cee68b580c71981e72e9,en/KA-04832_EN/ka-04832_spousal_consent_and_declaration_updated.dita,conbody,yes,yes,"When an individual is married or in a common-law relationship and is applying online for the GIS, their spouse or common-law partner must provide consent to obtain their information from the Canada Revenue Agency (CRA) and declare that the information provided about them is true. The spouse or common-law partner's consent and declaration are considered obtained through their GIS or ALW application process if: the details of their marital status match the information provided on the online GIS ap"
KMT bodies EN,dita_body:1fa81831bae369ea25bd,en/KA-05415_EN/ka-05415_what_you_need_to_do.dita,conbody,no,no,"When you receive notification that a client has returned to Canada, proceed as follows: If you are in a regional processing centre, begin at Step 1 . Step 1 If you are processing in an International Operations (IO) processing centre, begin at Step 3 . Step 3 Determine if the file was sent to an IO processing centre when the client departed from Canada. If yes, go to Step 2 . Step 2 If no, go to Step 3 . Step 3 Proceed according to the benefit status at IO. Determine if the client was receiving n"
KMT bodies EN,dita_body:c16f74902806ed32b45f,en/KA-01623_EN/ka-01623_remove_a_write-off.dita,taskbody,yes,yes,"In ITRDS, click CPMS from the institutional bar. The Account Overview screen opens in CPMS. Click Receivables from the navigation bar, then click Departmental . The Departmental Receivables Summary screen opens. Click View next to the Remission/Write Off indicator in the appropriate Receivable block. The Departmental Receivable Remissions/Write Offs screen opens. Select the write-off you want to remove under the Write Offs information block. Click Remove . The Remove Departmental Receivable Writ"
KMT bodies EN,dita_body:74e8cc6b95357109c0f8,en/KA-05299_EN/ka-05299_whats_been_updated.dita,taskbody,no,no,"Release 1.1 includes a new interface allowing one-way sync of new and existing foreign benefit client biographical information and address data from Curam™ to ITRDS, deploys required visual and functional bug fixes, and includes new enhancement features, such as how address fields are displayed dynamically in Curam™. With the deployment of OAS on BDM Release 1.1 on the Curam™ platform, the following knowledge articles for foreign benefits have been updated: Register a Person in Cúram (Action) Re"
KMT bodies EN,dita_body:300c5dfb15a9213118ee,en/KA-04310_EN/ka-04310_glossary.dita,refbody,no,yes,Deceased Contributor Post-Retirement Disability Benefit flat rate Post-Retirement Disability Benefit ( PRDB ) Survivor's pension flat rate
KMT bodies EN,dita_body:14ff6316d75dd4939152,en/KA-05562_EN/ka-05562_what_you_need_to_know.dita,conbody,no,yes,"The recovery of deductions withheld in the current year can be manually reversed in Cúram in situations where the system does not perform this action automatically. For example, if a Cúram-issued payment is cancelled, this process is done automatically. There is no need to manually perform this action. Some situations where this action must be performed manually are: The CRA has advised the Department to reimburse non-resident tax or recovery tax deductions to the client. A request to cancel the"
KMT bodies EN,dita_body:1b083cbfeb5b82ee862a,en/KA-01805_EN/ka-01805_block_4interest_and_other_investment_in_a8038fb2.dita,conbody,no,no,"The interest received on deposits in a bank, caisse populaire or credit union, and on savings bonds or mortgage receivables must be reported in Block 4. Carrying charges are an allowable deduction for this income source. They are reported on Block 9 and include the following: accounting fees paid for the recording of the investment income; fees paid for the management or safe custody of such investments (not including brokerage or transfer charges in buying or selling securities); interest paid "
KMT bodies EN,dita_body:9f36cb0303297a16c6e9,en/KA-04414_EN/ka-04414_do_the_clients_notes_indicate_that_they_9db55fb0.dita,conbody,no,no,"If the client has previously refused the RTR pension, do not proactively enrol them. Add the following note in ITRDS : "" RTR not proactively enrolled based on client instruction. See client note ""[Date of original refusal note]""."
KMT bodies EN,dita_body:3740b84f2c29952866d6,en/KA-01726_EN/ka-01726_validate_absences_due_to_specified_circumstances.dita,taskbody,yes,yes,"If the applicant has reported an absence on their residence statement and you suspect it may meet the criteria to be considered deemed residence in Canada, proceed as follows: Review the application and/or information on file to determine if the reason for this absence has been explained (e.g. the applicant has completed question B6 of the Application for the Old Age Security Pension and the Guaranteed Income Supplement (ISP-3550) form, ITRDS notes, etc.): If yes, go to Step 3 . Step 3 If no, or"
KMT bodies EN,dita_body:8f38266e98482661c1df,en/KA-03339_EN/ka-03339_procedures_for_ceasing_the_benefit_updated.dita,taskbody,no,no,"If the evidence demonstrates that the beneficiary has demonstrated overall work capacity, cease the benefit. If you cease a benefit with an effective date that is more than one year in the past or more than one year prior to the suspension date, you must obtain approval. If required, a briefing note is prepared and required signatures obtained prior to completing the decision. For more information, Briefing Note—Sample For any contentious cases, send an enquiry. Go to the Enquiries section below"
KMT bodies EN,dita_body:4f6e32f89d96a15b471a,en/KA-04783_EN/ka-04783_what_you_need_to_know.dita,conbody,no,no,"Telecentre forms are no longer used or created except to capture: Return to Work; United States Foreign Benefit Application; or International / Regional client enquiries. In place of the telecentre forms, one of the following new Enquiry work types is created in PWS. The following work types are for all current programs (OAS/CPP/Disability/International Operations (IO)) under the Category: Maintenance . Under the Category IO-Maintenance-FB, 3 additional work types can be found: Enquiry – Process"
KMT bodies EN,dita_body:190780491e4b775274b0,en/KA-05119_EN/ka-05119_totalization_with_a_third_country.dita,conbody,no,no,Jersey has social security agreements with the following countries: Austria Barbados Bermuda Cyprus France Guernsey Iceland Ireland Isle of Man Italy Jamaica Netherlands New Zealand Northern Ireland Norway Portugal Spain Sweden Switzerland United Kingdom note * note * United States Canada must also have a social security agreement in force with the above listed countries in order to use creditable periods in these countries for totalization purposes. Footnote The Canada/United Kingdom Agreement 
KMT bodies EN,dita_body:0ac5ef7adb456e04f5cb,en/KA-03295_EN/ka-03295_the_same_mitigating_circumstances_can_b_dfc11741.dita,conbody,no,no,"When an individual claims the same mitigating circumstances on a subsequent misrepresentation, the Minister has the discretion to accept or deny them as valid. The determination depends on the circumstances of each case. Discretionary decision A determination of misrepresentation and the resulting penalty is a discretionary decision that is made with fairness in mind and must be reasonable. This means consideration must be given to any information provided and show how it concludes that the misl"
KMT bodies EN,dita_body:42d190caf1299ea8775a,en/KA-05323_EN/ka-05323_electronic_document_system.dita,conbody,no,no,Electronic Document System reports that have been updated to include the second additional contributions column and the base contributions column or row have been renamed to ʺbase plus first additional contributionsʺ.
KMT bodies EN,dita_body:681d45b969c8193ca48c,en/KA-05488_EN/ka-05488_edit_gender_information.dita,taskbody,yes,yes,"In Cúram, go to the Person Record. Refer to Search for a Person in Cúram (Action) . Search for a Person in Cúram (Action) Click the Evidence tab on the navigation bar. Click Dashboard in the page group navigation bar on the left. The Dashboard window opens. Click Gender Details in the Participant Data section. The Evidence window opens. Click the ( > ) toggle icon. Click Edit at the end of the row. The Edit Gender Details window opens. Select the Change Reason from the drop-down menu. Make the n"
KMT bodies EN,dita_body:e233d23303bb1ae6ec9f,en/KA-05269_EN/ka-05269_whats_new.dita,conbody,no,no,The current Detailed Maximum Benefit Rates tables for 2024 and previous years from 2019 to 2023 can be accessed in the CPP section of the Benefits Toolbox
KMT bodies EN,dita_body:2d22649b0f4e032594d3,en/KA-05369_EN/ka-05369_system_operationschanges_to_pension_sys_3389f781.dita,conbody,no,no,CPMS The new periodic payment functionality in CPMS allows users to modify the frequency of CPP benefit payments for an eligible client. It eliminates the need for suspending a client's account to manipulate the frequency of their payment. CPMS changes have been implemented and are detailed below. CPMS Online Help The CPMS Online Help has been updated to include help pages for the new Payment Frequency functionality and to ensure that all the links point to the correct location. Additional CPMS 
KMT bodies EN,dita_body:2f13e370359bb68e040a,en/KA-05519_EN/ka-05519_delete_a_foreign_residence_period.dita,taskbody,yes,yes,"In Cúram, go to client's profile. Refer to Search for a Person in Cúram (Action) . Search for a Person in Cúram (Action) Click the Cases and Applications tab. The Foreign Engagement cases on the client's account are listed. Click the hyperlink for the Foreign Engagement Case under the Reference column. The Foreign Engagement Case opens in a new tab. Click the Evidence tab. Click the Foreign Residence Period hyperlink . The Foreign Residence Period—Foreign Engagement Case page opens. Click the ( "
KMT bodies EN,dita_body:1109bbe00281e911ea90,en/KA-02124_EN/ka-02124_letters.dita,refbody,yes,yes,ISS-6587—IO-Transfer to BESS ISS-6599—All Programs Application transferred to B.E.S.S. Foreign benefits letters are stored in the Corporate Correspondence Tool and must be accessed through Cúram. (KA-05257 Snippet 29.0 content. Do not modify or delete.)
KMT bodies EN,dita_body:27c9cd607ec01a1df9b5,en/KA-05138_EN/ka-05138_social_security_agency_addresses.dita,conbody,no,no,"If creditable periods have been completed under the Social Security System or under the Social Security System and the Government Service Insurance System: Social Security System (SSS) International Affairs and Branch Expansion Division East Avenue, Diliman Quezon City 1100 Philippines Tel: 011 (63-2) 920 64 01 Fax: 011 (63-2) 922 31 73 Email: Social Security System Email template Website: Social Security System External link Social Security System Social Security System If creditable periods ha"
KMT bodies EN,dita_body:5b568949b843f0665c90,en/KA-05606_EN/ka-05606_whats_new.dita,conbody,yes,yes,"CPP or OAS correspondence can be returned to the Department as undeliverable due to a client's death, an incorrect address or incorrect direct deposit information. The procedures related to returned correspondence, tax slips and payments have been updated to provide clarity for processing staff. In addition, the OAS procedures in common articles have also been updated to include Cúram guidance."
KMT bodies EN,dita_body:ee3f9f8015d76208e5dc,en/KA-04437_EN/ka-04437_complete_the_notification_of_cash_recei_aaa549a3.dita,conbody,no,no,"After you complete the lower portion of the NCR, sign and date the form. Forward the benefit file, copies 1 and 2 of the NCR and the change order to the batching clerk in the usual manner."
KMT bodies EN,dita_body:91959a72233c9205280f,en/KA-04637_EN/ka-04637_covid-19_interim_measureswaived_documen_060fdb9e.dita,conbody,yes,yes,"The table below summarizes the documentary and signatory requirements that may be waived when certain conditions are met. For detailed information on those conditions, refer to the following policies and procedures: Policies COVID-19: Interim Measures for Documentary Evidence (Policy) COVID-19: Interim Measures for Documentary Evidence (Policy) COVID-19: Interim Measures for Impacted Clients (Policy) COVID-19: Interim Measures for Impacted Clients (Policy) Procedures COVID-19: Interim Measures f"
KMT bodies EN,dita_body:e7b4eecf355a6bd12545,en/KA-01070_EN/ka-01070_summary.dita,conbody,no,no,This procedure provides you with the steps to follow when processing tax slips for CPP and OAS pensions or benefits.
KMT bodies EN,dita_body:b4ba3333cb3be7bc524c,en/KA-01457_EN/ka-01457_summary.dita,conbody,yes,yes,"Validate the Deemed Person to Represent the Deceased Client for the Purpose of Issuing a T4A(OAS), T4A(P) and NR4 (ISP-1202) form."
KMT bodies EN,dita_body:90b6b9237e432d1d00d8,en/KA-04887_EN/ka-04887_automation_of_online_retirement_pension_b8155f77.dita,conbody,no,no,"RTR pension Effective June 1, 2024, once the applicant applies for the RTR pension in MSCA, their date of birth from ITRDS will be displayed for them to verify by selecting Yes or No. If the applicant selects No, they will be stopped from applying online and instructed to contact the Department to apply for the RTR pension. When the applicant submits an online RTR application, the information transfers to ITRDS and the following occurs: All sections completed by the applicant during the online a"
KMT bodies EN,dita_body:1f6500b872d09cc2c582,en/KA-04346_EN/ka-04346_endometrial_cancer.dita,conbody,no,no,"ICD-9-CM code(s) 182 – Malignant neoplasm of body of uterus 182.0 – Corpus uteri, except isthmus Cornu Endometrium Fundus Myometrium Other names cancer of the uterine endometrium; endometrioid cell cancer; serous cell endometrial cancer; squamous cell endometrial cancer; clear cell endometrial cancer; mucinous endometrial cancer; transitional cell endometrial cancer; mesonephric endometrial cancer; or undifferentiated endometrial cancer."
KMT bodies EN,dita_body:439d85ade81dc5f9a606,en/KA-05103_EN/ka-05103_complete_the_liaison_form.dita,refbody,yes,yes,"Agreement on Social Security between Canada and Finland—Liaison Form When forwarding a foreign benefit application or responding to a request for information, proceed as follows:"
KMT bodies EN,dita_body:cc03e549ad61b476e1f6,en/KA-03322_EN/ka-03322_is_there_a_claim_or_allegation_of_erron_c5b968f5.dita,conbody,yes,yes,"A claim or allegation of Erroneous Advice/Administrative Error (EA/AE) made by a beneficiary or an authorized third party during the reassessment, at any level, must be fully investigated. The Minister may also initiate remedial action in the process of reviewing an application or file if it is noticed that an EA/AE has occurred in the processing of a pension, benefit or provision. If the EA/AE is likely to result in an overpayment , the investigation must be completed after the decision on the "
KMT bodies EN,dita_body:7e8887b8dae76b572deb,en/KA-01888_EN/ka-01888_what_you_need_to_look_for.dita,conbody,yes,yes,"Does the applicant have a terminal illness? Updated Call the applicant immediately. You are only required to make 1 call attempt if information is missing for the application to be complete or to relay the decision. If no information is required, tag this call as exempt in ITRDS Notes. For example, *Initial Rapport Call attempt 1-call exception. Does the applicant have a grave illness? If the applicant has a grave illness, 2 calls are still required. Call the applicant immediately to ensure the "
KMT bodies EN,dita_body:dddb384d7715ede3980a,en/KA-05211_EN/ka-05211_what_you_need_to_know.dita,conbody,no,no,"The Complete Application Definition referenced in this article has not changed, and applies to both PWS and ITRDS . Therefore, the date input in the ITRDS Complete Application Date field must match the date input in the PWS Ready to Process Date field. The Ready to Process functionality is available for the following CPP application work types: Death (1200) Survivor (1300) Survivor -18 ORP (1300) Survivor – SVR /ORP – 18 (1300) Instructions for Processing Staff Effective March 8, 2023, all newly"
KMT bodies EN,dita_body:948d386f71ebafcd4699,en/KA-01479_EN/ka-01479_exceptions_and_special_cases.dita,conbody,yes,yes,There are no exceptions or special cases. (KA-01098 Snippet 12.0 content. Do not modify or delete.)
KMT bodies EN,dita_body:f8a72d4f256fffc562cb,en/KA-05364_EN/ka-05364_enquiries.dita,conbody,yes,yes,"[[ARTICLE-KA-05073]] (Snippet 26.0 content. Do not modify or delete. If additional guidance is required, send an enquiry via the National Business Expertise Tool (NEXO) Internal link (access is required). National Business Expertise Tool"
KMT bodies EN,dita_body:3cd682007e040cf89098,en/KA-04686_EN/ka-04686_whats_new.dita,conbody,no,no,"There are 89,000 accounts in the OAS Online system where the province code and the region code do not match. Although this discrepancy has no direct impact on clients’ OAS benefits, it does have a direct impact on the clients appearing on the proper provincial file exchange. Therefore, the clients may be at risk of not receiving the provincial benefits to which they are eligible and entitled to. Ongoing monthly scans will be conducted and validated to ensure additional mismatches do not continue"
KMT bodies EN,dita_body:f506ba5bb806e9b19969,en/KA-03512_EN/ka-03512_overpayments_3.dita,conbody,yes,yes,Overpayments—Key Principles (Policy) Overpayments—Key Principles (Policy) Overpayments—Recovery and Collection (Policy) Overpayments—Recovery and Collection (Policy) Overpayments—Remissions (Policy) Overpayments—Remissions (Policy) Overpayments—Write-Offs (Policy) Overpayments—Write-Offs (Policy)
KMT bodies EN,dita_body:7aee13607c0b957f55fb,en/KA-05435_EN/ka-05435_activate_retirement_or_pension_income_r_cce977f4.dita,taskbody,yes,yes,"In Cúram, go to the client's profile. Refer to Search for a Person in Cúram (Action) . Search for a Person in Cúram (Action) Click the Clients and Cases tab. Click Cases on the page group navigation bar on the left. Click the hyperlink in front of the Old Age Security case in the Reference column. Click the Evidence tab. Click In Edit Evidence on the page group navigation bar on the left. The In Edit Evidence window opens. Click the 3-dots ( ... ) action menu to display the action menu and click"
KMT bodies EN,dita_body:3433e80f04c9a0ae9c93,en/KA-05251_EN/ka-05251_whats_new.dita,conbody,no,yes,The Applications Date of Receipt (Policy) article in the KMT should be referenced when the receipt date of a paper application is in question due to a disruption in Canada Post delivery caused by the current labour action. Applications Date of Receipt (Policy)
KMT bodies EN,dita_body:930e7e258b6f2b00dbbd,en/KA-05495_EN/ka-05495_summary.dita,conbody,yes,yes,This procedure provides you with the steps to register a client as a person when the client is a prospect person in Cúram.
KMT bodies EN,dita_body:fc06ec2893b41146717a,en/KA-03324_EN/ka-03324_sheltered_or_inclusive_employment.dita,conbody,yes,yes,"Sheltered employment is for therapeutic reasons rather than to provide an income. It is an exception occurring in rare circumstances. Beneficiaries reassessed previously with a continues to be decision, based on sheltered or benevolent employment will need a change in employment status, earnings, employer (or business under new management) or medical condition on subsequent reassessments to cease the benefits. Send an enquiry to receive further instructions when assessing work capacity in a shel"
KMT bodies EN,dita_body:7d56e2b7d65ce0b09764,en/KA-05505_EN/ka-05505_references.dita,refbody,yes,yes,There is no reference material. (KA-01423 Snippet 14.0 content. Do not modify or delete.)
KMT bodies EN,dita_body:23bd7bb8fefb02f2cfae,en/KA-05370_EN/ka-05370_paper_process.dita,conbody,no,no,There are no changes that affect the paper-based applications process.
KMT bodies EN,dita_body:5f0c0c4449371950127c,en/KA-04348_EN/ka-04348_resend_the_correspondence_to_the_new_address.dita,taskbody,no,no,"Proceed based on the type of returned correspondence you are processing: A returned tax slip, refer to Returned Tax Slips (Action) . Returned Tax Slips (Action) Other returned mail, go to Step 2 . Step 2 If the document is defaced, you will need to create a replacement or send a duplicate. Refer to the applicable procedure below: To recreate the correspondence: For CPP, refer to Create, Print and Search Letters in the Corporate Correspondence Tool (Action) . Create, Print and Search Letters in t"
KMT bodies EN,dita_body:9dda00e899180482985c,en/KA-01155_EN/ka-01155_summary.dita,conbody,yes,yes,"Add, modify or delete a third party contact (non-payee) on a client's account in ITRDS ."
KMT bodies EN,dita_body:7edb9c3bfa73d9a9ad6a,en/KA-04914_EN/ka-04914_responding_to_a_request_for_information_7325b050.dita,conbody,yes,yes,The foreign social security offices will require information from Canada that will allow them to determine eligibility to one of their benefits or to maintain payment of existing benefits. The foreign institution will use their own liaison form to request any of the following: periods of contribution to the CPP and/or periods in receipt of a DSB ; periods of Canadian residence; Canadian pensions and benefit decisions and rates; date of receipt of a Canadian pension or benefit application (protec
KMT bodies EN,dita_body:51f85a76a5ebf713269c,en/KA-05103_EN/ka-05103_canadian_cpp_pension_and_benefits.dita,conbody,no,no,Non-resident Tax: 20% CPP Death benefit non-resident tax: 25%
KMT bodies EN,dita_body:4f9ebfc1738f2cdb11f5,en/KA-05411_EN/ka-05411_references.dita,refbody,yes,yes,There is no reference material. (KA-01423 Snippet 14.0 content. Do not modify or delete.)
KMT bodies EN,dita_body:5b112215dc9ce5d97fc7,en/KA-05534_EN/ka-05534_what_you_need_to_know.dita,conbody,no,no,"You must create a manual task when a referral to ISB for an investigation is required. Select the task category as OAS-Investigation Referral when you identify a concern, suspect fraud or potential misrepresentation regarding eligibility or entitlement to an OAS pension and benefits."
KMT bodies EN,dita_body:7a3f91ddceb08597ef4d,en/KA-05451_EN/ka-05451_add_sponsorship_agreement_evidence_updated.dita,taskbody,yes,yes,"In Cúram, go to the client's Person Record. Refer to Search for a Person in Cúram (Action) . Search for a Person in Cúram (Action) Click the Cases and Applications tab. Determine where to add the sponsorship agreement evidence: To add the evidence on an Application Case: Click Applications in the page group navigation bar on the left. Click the hyperlink in front of the case in the Reference column. To add the evidence on an Integrated Case: Click Cases in the page group navigation bar on the le"
KMT bodies EN,dita_body:3d5db58dca50d2f69a9f,en/KA-03392_EN/ka-03392_allowance_and_allowance_for_the_survivor.dita,conbody,no,yes,"An application for the Allowance is approved the later of: the day an individual turns 60; the day after an individual meets the residence requirements; the day after an individual meets the legal status requirement; twelve months before the date of receipt of the application, but not before the date that the individual turns 60; or the month the applicant's spouse or common-law partner is approved for the GIS. An application for the Allowance for the Survivor is approved the later of: the day a"
KMT bodies EN,dita_body:df2f58466d7b0e7bc395,en/KA-03504_EN/ka-03504_oas_pension_and_gis_automatic_enrolment_ad50cf39.dita,conbody,yes,yes,"For OAS pension and GIS automatic enrolment and the ALW benefit application, consider the following: An individual selected for OAS pension and GIS automatic enrolment may apply separately for the ALW benefit. Since there is no automatic enrolment for the ALW benefit, the individual must prove that they meet the eligibility criteria for the ALW benefit in the usual manner and with the relevant documentation. The selection criteria for the OAS pension and GIS automatic enrolment process cannot be"
KMT bodies EN,dita_body:ecfc335196c5b29c2677,en/KA-04608_EN/ka-04608_cpp_childrens_benefits_18requirement_fo_eca2f2bb.dita,conbody,no,no,"CPP Children's benefits (+18) for Declaration of Attendance at School or University (ISP-1401) form received for the 2020 fall to the 2024 fall semesters This interim measure has been incorporated into regular procedures. For more information, Attendance at School or University (Scenario) If you need to review earlier guidance related to this interim measure, click the Previous Versions at the bottom of this page and select version 1.40 . CPP Children's benefits (+18) for the 2019-2020 school ye"
KMT bodies EN,dita_body:5b0df8a7b1294c8de61b,en/KA-01751_EN/ka-01751_reconciliation_of_an_option_updated.dita,conbody,yes,yes,"A client who was granted an option must provide their actual income information for the following payment period by: completing an Income Tax and Benefit Return so the income can be provided by the CRA ; or submitting a Statement of Income for the Renewal of the Guaranteed Income Supplement, the Allowance or Allowance for the Survivor for payment period of July (20XX) to June (20XX) with Information Sheet (ISP-3026) form. Reconciliation is required to validate the actual income against the estim"
KMT bodies EN,dita_body:1b455585787d4fb3158b,en/KA-05150_EN/ka-05150_references.dita,refbody,yes,yes,"Canadian Benefit Application Forms ISP5053-SWE — Sweden/Canada Agreement - Application for CPP Disability Benefits ISP5054-SWE — Sweden/Canada Agreement - Application for Canadian Old Age, Retirement and Survivors Benefits ISP5055-SWE — Sweden/Canada Agreement - Application for CPP Child's Benefits You can access the forms listed above in Service Canada Forms External link Forms List. Search the forms catalogue using the last 4 digits. (KA-05158 Snippet 27.0 content. Do not modify or delete.) Fo"
KMT bodies EN,dita_body:45aba13dd38abdd8ec24,en/KA-05428_EN/ka-05428_references.dita,refbody,yes,yes,There is no reference material. (KA-01423 Snippet 14.0 content. Do not modify or delete.)
KMT bodies EN,dita_body:e21f870cfb47d9cc0d96,en/KA-05427_EN/ka-05427_search_for_a_person_using_additional_se_c065004a.dita,taskbody,yes,yes,"In Cúram, click Clients and Cases . Click the Shortcuts panel on the left side of the screen. Click Registration and click Person… . The Register Person wizard opens. Enter the information in the Additional Search Criteria section under the 1 Registered Client Check tab as follows: Click Search . Verify if there are any records listed under Search Results and choose one of the following actions: If there is no existing person record, click Next at the bottom of the page. The wizard continues to "
