item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,final_analysis,is_borderline,classification_source,llm_review_status
4931,4950,dita_document:ad9f7eaf0e65ff6aeefc,dita_document:e4e8a24334f4a113074d,1.0000001192092896,0.9997974,duplicate/semantic duplicate,"CrossEncoder, embedding, and lexical overlap strongly support duplication.",False,cross_encoder,not_needed
19,53,dita_document:2b99abffda69aa694b37,dita_document:12e06651a812bdca6eb4,1.0,0.99968016,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
33,36,dita_document:1b7fd146d606440812b8,dita_document:f8fa669a5ef26e37f114,1.0,0.99968994,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
135,1487,dita_document:ba2365879abb405904fe,dita_document:1cd65f763bae3e778a06,1.0,0.99988997,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
136,3123,dita_document:43e3ec74932a838ad595,dita_document:a31e3513e8b6c36e42e1,1.0,0.99987376,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
137,1484,dita_document:27f0ebd31cffb4c39640,dita_document:b4cbb89add78bce67aeb,1.0,0.9998715,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
160,4645,dita_document:b560906a0487d65e3291,dita_document:a428f9428c53b739dc13,1.0,0.9993542,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
163,3236,dita_document:308aed5517edce702499,dita_document:c76abc518d8e5ed76af3,1.0,0.9998367,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
333,351,dita_document:9b755ebea2be87d2f1df,dita_document:1b7dd89f87da437a48f4,1.0,0.9993318,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
583,2990,dita_document:9c0f4e9c236e90399f98,dita_document:a58e2e1a724c0f9057a7,1.0,0.9998024,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
594,2652,dita_document:33b7923d9f67d9f57f82,dita_document:f266225c243c83b062de,1.0,0.9994566,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
658,675,dita_document:aede86217df43db03e46,dita_document:27e69905b870ad223581,1.0,0.9998846,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
665,671,dita_document:b07b8d13e0cefe8f9270,dita_document:096739561c10aa70649a,1.0,0.9999096,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
668,707,dita_document:435a659382c48aeb46d5,dita_document:8c84b0fb15879926d0bb,1.0,0.99984145,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
677,753,dita_document:d2a603204a436592dfa8,dita_document:472a679f742a7ad0581d,1.0,0.9998797,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
678,754,dita_document:fd610c74cb7505643805,dita_document:c087b9ae5f2e922d31fc,1.0,0.9998994,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
679,755,dita_document:d69bab7d294e890f0fd1,dita_document:649e09df3b2a4489c781,1.0,0.9997836,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
681,757,dita_document:0a202e62dc3ae7fded9d,dita_document:c5a8b761f68b4cece4d7,1.0,0.99988264,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
682,758,dita_document:78a9070254f9ac6cc502,dita_document:5de55780fddf844b8be3,1.0,0.9998674,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
685,759,dita_document:ab742661d938811a90ca,dita_document:661e107b9fdfd6b20452,1.0,0.99989545,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
698,776,dita_document:0cbeb13ce8506366cb93,dita_document:381341ec69d079f14e44,1.0,0.999847,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
702,780,dita_document:dda157bde66e90c0095e,dita_document:67cf4cacc3e130ce1600,1.0,0.99989367,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
703,781,dita_document:84d7ccd46791a4c16329,dita_document:b6a894d1147d72d1918e,1.0,0.99987173,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
704,784,dita_document:950a21d323b311124a84,dita_document:d6db6ba8ea1c67458a39,1.0,0.99991417,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
705,785,dita_document:9470a69c53b1717e12af,dita_document:c20df06f1af33fee77e6,1.0,0.9996254,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
709,787,dita_document:3737ba12e8943ef2efdb,dita_document:919ef2f4301e9b0c8892,1.0,0.99991226,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
710,788,dita_document:77bb799a822f5565f705,dita_document:aa85f7d84027156d6781,1.0,0.99991685,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
715,793,dita_document:0840497e1564b4bb013b,dita_document:048981f1e3459f5c4fa1,1.0,0.99990433,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
718,795,dita_document:788a311e80d80a3d357c,dita_document:f1239119bb82c67ce716,1.0,0.99944144,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
719,796,dita_document:b7c5e68837bd396f939d,dita_document:25fb1821e15992ab2a07,1.0,0.99991256,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
720,797,dita_document:0d4dc1e889b06a7e87d8,dita_document:610b6940c9f83928be00,1.0,0.9999094,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
721,798,dita_document:aad93b87819a991033a2,dita_document:3c22a1164fd381b05f7a,1.0,0.9996323,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
722,799,dita_document:89a619c4fc77d52abde4,dita_document:db5b61b758573cf0bcf1,1.0,0.9998999,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
723,802,dita_document:18f9732146888e8ef41b,dita_document:b955c865e8bfc513adcb,1.0,0.9998358,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
724,803,dita_document:19884ec43b58aed4999b,dita_document:684ee3fcd887934ce54b,1.0,0.9999121,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
725,804,dita_document:58727858a8cb0f6e493a,dita_document:0bafd0fc430f7e79a2cd,1.0,0.9998872,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
726,805,dita_document:c2aa0ac33c5f7ace369e,dita_document:6aeda44debbf64f846fa,1.0,0.99987066,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
727,806,dita_document:09f5b98512f3a8b6adda,dita_document:7e265084c53020b0d4a8,1.0,0.99991393,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
728,807,dita_document:7a89b4114845f6165551,dita_document:5da958b3527299c0125a,1.0,0.99990493,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
729,808,dita_document:06a0a2f6671b4867b867,dita_document:4a058bdba1542c521986,1.0,0.9999089,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
730,809,dita_document:edad9d06c5ef90b13731,dita_document:4e2764f67d0338ac7243,1.0,0.9999215,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
731,810,dita_document:ef1b771458982bcea480,dita_document:5d208d8a81fb5772f591,1.0,0.9999149,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
732,811,dita_document:2e7e6bceea2b8c6e4763,dita_document:93f36fc7a8f1fdfe601b,1.0,0.9999074,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
733,812,dita_document:89fd65fe29486cc95731,dita_document:ee8828ec999812901b71,1.0,0.9999189,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
735,814,dita_document:7b895215a88f2250d611,dita_document:8ba09cd4386cb91facf8,1.0,0.9999248,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
741,820,dita_document:a0059f549eb536f0d1e9,dita_document:38490a467f8382add1b4,1.0,0.9998782,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
742,821,dita_document:8df203ce98b0624a3722,dita_document:a9acd0b10e88cfa64f32,1.0,0.9999088,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
743,822,dita_document:215751e59f31678161fa,dita_document:11007a13f7f4d82b8f91,1.0,0.99992484,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
895,2208,dita_document:3d00fba1a7d74c470f7a,dita_document:109584ad10260b446351,1.0,0.99900484,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
910,1262,dita_document:b57f0f7a30198249038c,dita_document:c67bb6eadc0f3ae1bac4,1.0,0.99989927,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
926,1165,dita_document:34567e77c757c85e1f78,dita_document:124e096127b2dce23487,1.0,0.9998706,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
987,1238,dita_document:60e1db247ecfe9237231,dita_document:2fc8a2bff826b4307695,1.0,0.99980664,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1020,1171,dita_document:9d54689f2f042298b8c1,dita_document:45e9fba4427a53b649dc,1.0,0.99989897,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1304,2862,dita_document:2cf6436bee86c50c2a49,dita_document:2cebdcf335d3b58c0e15,1.0,0.99983966,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1376,2527,dita_document:d826999bf1d2962cb518,dita_document:a0c148ea22b605631459,1.0,0.99984914,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1407,3095,dita_document:72e16607e7dc85913b19,dita_document:34a1c2f1c87bf961bcf3,1.0,0.9997875,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1407,4656,dita_document:72e16607e7dc85913b19,dita_document:cd90fdec7cea22979117,1.0,0.9997932,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1481,4647,dita_document:6a1c42a0aa4b4b7d9a9f,dita_document:564f81e7af223c416a0d,1.0,0.9997376,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1485,2860,dita_document:c796478fdf0ef21c0234,dita_document:39fbc8b97a24e43fa998,1.0,0.9999123,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1490,4652,dita_document:e1d927fe000a4e46b36f,dita_document:4846ed89902e99d6d0e3,1.0,0.99942154,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1515,1525,dita_document:1d20c4aa017fe63d0cb5,dita_document:9060ac7d2c95f6f2baf7,1.0,0.9999198,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1668,1795,dita_document:f9778551ab7aa04a21de,dita_document:13b35b6210518c6737b6,1.0,0.999773,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1672,1806,dita_document:772e936789ea7afe3a17,dita_document:95f55169a37dc7c1d508,1.0,0.99977463,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1716,4465,dita_document:73ca67eb447a6ac6ed18,dita_document:cbb0e7aeff16fe546e54,1.0,0.9998441,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1742,3242,dita_document:71afd5976d4ed836ed70,dita_document:a64a8c836d8bab0b95b8,1.0,0.9997818,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1749,3234,dita_document:ee906d8d9b71b2243a1e,dita_document:dd6d54498a3658024869,1.0,0.9998596,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1768,1772,dita_document:bae9ca0a402c200e61cf,dita_document:8e052082c8a362c45106,1.0,0.999901,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1786,1791,dita_document:96525f7078222ca1984c,dita_document:3e643e6e9dfe874cdc12,1.0,0.99985695,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1798,1811,dita_document:53a860e61222c5cc160f,dita_document:fd4e7122019721e3cfe2,1.0,0.99975014,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1823,1827,dita_document:8560d9edc7e306cdd9bf,dita_document:3195e7bea88e6bf76854,1.0,0.9998812,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1856,1953,dita_document:89b4b73c57e99629bc45,dita_document:4b10742e2e8e7d8bae96,1.0,0.999887,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1861,1867,dita_document:5bd6734e2934653f40d2,dita_document:a59493f452a6756aefda,1.0,0.9998822,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1863,3714,dita_document:3a4983d32d4809254d32,dita_document:365fe915a433a31dc49b,1.0,0.9998827,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1873,1896,dita_document:abf4dc57577a79a27c36,dita_document:1cbfa2447388dc8f4402,1.0,0.9998853,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1873,3751,dita_document:abf4dc57577a79a27c36,dita_document:52273df51f13a3685051,1.0,0.9998853,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1879,1890,dita_document:8f40aab6487f236c565f,dita_document:f2ddc28c95896561c849,1.0,0.9999053,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1882,1899,dita_document:8c8674211df63e28da1b,dita_document:f4d8a09b48ded3319515,1.0,0.99962705,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1883,1893,dita_document:2363d9402eb0fbb4eda0,dita_document:db617764bfebaa21925c,1.0,0.9997957,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1888,1895,dita_document:87f04f9e36d8e2c9c0d4,dita_document:83fa12cac091b9e5df5e,1.0,0.99980295,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1959,3743,dita_document:531a3742e618baa0b744,dita_document:98333c5b01a92d05b812,1.0,0.9999068,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1979,1987,dita_document:a3424af7551954722c7f,dita_document:5c39e6c47c0f05129dc1,1.0,0.9999372,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2054,4171,dita_document:39d83a90db310c64e8d8,dita_document:13487446038980a91d9e,1.0,0.9997989,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2127,3895,dita_document:593467e8d46d3740c6e3,dita_document:31b3a3b98e1cf5a61b1d,1.0,0.99983865,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2127,3907,dita_document:593467e8d46d3740c6e3,dita_document:59a216c92e1096e8a235,1.0,0.99983865,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2167,4548,dita_document:48cda32288e002104a19,dita_document:c6affad5c548f75d1946,1.0,0.9998833,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2168,2181,dita_document:1259198e6f44918bae16,dita_document:70809bfe3fee0625a4b0,1.0,0.99918026,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2201,3821,dita_document:4ffd53a7a99c21c5df40,dita_document:09920abb38a256df3911,1.0,0.99989057,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2227,4897,dita_document:ead7c7f50567e52eecb2,dita_document:bb19b3c80b936405a246,1.0,0.9995618,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2235,3125,dita_document:cf7202cfc793b6649070,dita_document:bd6565aea000977448da,1.0,0.99909765,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2256,2276,dita_document:5af7373b11f79ac6c026,dita_document:1a3a0ca81a8093817477,1.0,0.99989146,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2256,3695,dita_document:5af7373b11f79ac6c026,dita_document:1f84168955e240a58fa8,1.0,0.9998915,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2288,2289,dita_document:e87d7d5a9bb175ddaa46,dita_document:8d48494e29df44bcac9d,1.0,0.9999293,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2297,2299,dita_document:8b4f810df7af524475cf,dita_document:de43595e4a2b687f0129,1.0,0.99977326,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2371,2378,dita_document:853a4ba1b3f1e64cf98c,dita_document:6ab78921f47e6a46d43c,1.0,0.9998512,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2399,2400,dita_document:394ec2d03cc81f137eab,dita_document:b1f346ef65d7ae5ab1b6,1.0,0.9998985,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2465,3632,dita_document:2087eec3a0c15e80ace6,dita_document:27bb04a6243da9cfdcde,1.0,0.99912286,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2475,2495,dita_document:bfef92f86bb7d4153a86,dita_document:d2a93c9e5be1ad589642,1.0,0.99981105,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2476,2480,dita_document:83c1dd65dad8b6cb508b,dita_document:24426ab7136578ea5084,1.0,0.99960667,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2490,2492,dita_document:c18dc0c48c23d3032dee,dita_document:d9b748937c013d7fafd9,1.0,0.9998765,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2505,4550,dita_document:b3e624de1fc184fcd192,dita_document:0ed872bcc09855654c76,1.0,0.9997875,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2551,4142,dita_document:eef2bccbeb28cbfd7b4f,dita_document:b3906dcb418ac99df2d7,1.0,0.99978924,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2576,2580,dita_document:29ef32bcfa340c9a9bac,dita_document:b7d085d43be31a1e798e,1.0,0.9994903,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2602,4106,dita_document:f159152b0f06479d7a5b,dita_document:e56df501349ab4a68537,1.0,0.9998022,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2602,4240,dita_document:f159152b0f06479d7a5b,dita_document:c8c09095cc2fcd50948c,1.0,0.9998022,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2624,2626,dita_document:a62b4a9c348b72addd11,dita_document:091cc337191f664aa94d,1.0,0.9998584,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2637,4549,dita_document:a8f7c6e39d377daec644,dita_document:899558505826779c8653,1.0,0.99904567,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2646,4444,dita_document:9c49d248010cb387d4aa,dita_document:d64bc9322ca329d576a6,1.0,0.99904567,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2657,2712,dita_document:d0db69cb62fcdc38a693,dita_document:631e9ebafccaa5285285,1.0,0.9997599,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2677,4684,dita_document:f897f4e76d0c15927739,dita_document:5a01a9087c391e98c963,1.0,0.99983454,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2715,2741,dita_document:31d56cfb8b80e05066fa,dita_document:f083edae50786523c842,1.0,0.9997766,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2717,2767,dita_document:0a0760d12628400b0ac8,dita_document:fd0438335ba6cedceea1,1.0,0.9997511,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2756,2795,dita_document:55b12437e7bba9bf2739,dita_document:f5c207e9d6cb8b4f0f84,1.0,0.9997505,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2759,2802,dita_document:174f2a74c7637d43db1d,dita_document:eacc989c0011be1ebfa3,1.0,0.9997609,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2762,2821,dita_document:ce5f4c124d82d240584b,dita_document:d08c75d036c506dbdf54,1.0,0.9997446,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2769,2863,dita_document:ea5a2e9a6780d28f4fbc,dita_document:d366c4865270e52ab9cd,1.0,0.9995068,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2771,2778,dita_document:36ee4f557e3f13252637,dita_document:1e8e2719a4014c0937a8,1.0,0.9998326,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2858,2859,dita_document:07c6e7a64a438807dab6,dita_document:5f1f54bc1c14243ed40f,1.0,0.99966383,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2893,2895,dita_document:f70868af6e116041d6b4,dita_document:1f685322fb83cc2468fc,1.0,0.99941045,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2925,2926,dita_document:665e9238a7d1b04296f8,dita_document:bf42244167961fa2643c,1.0,0.9998646,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2925,3710,dita_document:665e9238a7d1b04296f8,dita_document:4274ca1e1aa66e564a7d,1.0,0.9998773,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2960,2973,dita_document:61450f6c526ac7649377,dita_document:4649524579d36360379c,1.0,0.9999281,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3011,3361,dita_document:cc15cd6873fdc2e33d3e,dita_document:d1178efe83a7088a933b,1.0,0.99992144,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3054,3056,dita_document:1cfd4cec7c50a45d9ff2,dita_document:e8fd89b84376f5cc0d33,1.0,0.9998221,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3067,3076,dita_document:1b6dfa61700e5c1e495e,dita_document:419dfe68cb4864b248ee,1.0,0.9998304,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3074,4500,dita_document:c956d6363caf85c71533,dita_document:650619d94898c5f321ab,1.0,0.9999093,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3107,4509,dita_document:df82c67d1ca84e4a45aa,dita_document:dbfa3796b0b7835f8dd3,1.0,0.9998699,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3226,3258,dita_document:c02a0a5bdfad0199f128,dita_document:89f173fd0dd41fc0904a,1.0,0.99981475,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3226,3266,dita_document:c02a0a5bdfad0199f128,dita_document:db8e5c0c0f1d8c2fd0cd,1.0,0.9998582,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3237,3250,dita_document:62f339c88e95362225db,dita_document:74a9b0184d90f4d7e903,1.0,0.99978024,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3253,4967,dita_document:c09d5d93965edfdb3b37,dita_document:936b8a8d1b306223e4b6,1.0,0.99967325,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3273,4324,dita_document:34558050b94fab0fd8fd,dita_document:454e9ed69fd34667d22b,1.0,0.99991316,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3279,3283,dita_document:f3b6eec9b043933ad21a,dita_document:7aae4b1909ffcf5e8f6b,1.0,0.9998666,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3307,3314,dita_document:6bb1875800eda8a2267a,dita_document:9eec667084d5cfe91208,1.0,0.9997048,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
