item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,cluster_id,item1_cluster_id,item2_cluster_id,same_duplicate_cluster,final_analysis,is_borderline,classification_source,llm_review_status
1034,1043,dita_document:7785171ff026b28659a4,dita_document:16f88564d66069f944f2,1.0000004768371582,0.99982387,duplicate/semantic duplicate,all_notes_fr_cluster_00194,all_notes_fr_cluster_00194,all_notes_fr_cluster_00194,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1255,1286,dita_document:ed04e44d15403aef057f,dita_document:604ca32d6b9e72eccc2e,1.0000004768371582,0.99895364,duplicate/semantic duplicate,all_notes_fr_cluster_00093,all_notes_fr_cluster_00093,all_notes_fr_cluster_00093,yes,Normalized node text is identical.,False,cross_encoder,not_needed
2379,2382,dita_document:56a92d256ab05a3915dc,dita_document:6ebbf29248a6be94c397,1.0000004768371582,0.9998266,duplicate/semantic duplicate,all_notes_fr_cluster_00502,all_notes_fr_cluster_00502,all_notes_fr_cluster_00502,yes,Normalized node text is identical.,False,cross_encoder,not_needed
2870,2871,dita_document:18e8fa655d790ac11275,dita_document:1874a0abceee7e7a11b0,1.0000004768371582,0.9998462,duplicate/semantic duplicate,all_notes_fr_cluster_00201,all_notes_fr_cluster_00201,all_notes_fr_cluster_00201,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3011,3012,dita_document:4257ba1fea15156e7ef3,dita_document:840344fc01e03d59f61a,1.0000004768371582,0.9996495,duplicate/semantic duplicate,all_notes_fr_cluster_00232,all_notes_fr_cluster_00232,all_notes_fr_cluster_00232,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4065,4071,dita_document:4818a917a3d55a18852b,dita_document:da93e1275c6220c82ed7,1.0000004768371582,0.9998592,duplicate/semantic duplicate,all_notes_fr_cluster_00437,all_notes_fr_cluster_00437,all_notes_fr_cluster_00437,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4310,4311,dita_document:1b2c3bfbe0d32e5d30d5,dita_document:203b4efd5abfeb4a158a,1.0000004768371582,0.99987316,duplicate/semantic duplicate,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4310,4338,dita_document:1b2c3bfbe0d32e5d30d5,dita_document:faa6f8743996dc33b8b3,1.0000004768371582,0.99987316,duplicate/semantic duplicate,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4310,4339,dita_document:1b2c3bfbe0d32e5d30d5,dita_document:d56a3127adefc8203565,1.0000004768371582,0.99987316,duplicate/semantic duplicate,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4310,4340,dita_document:1b2c3bfbe0d32e5d30d5,dita_document:c8b6283627599843774c,1.0000004768371582,0.99987316,duplicate/semantic duplicate,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4504,4516,dita_document:bed9b2910894d6bb64cd,dita_document:dd34244a42ca7b732408,1.0000004768371582,0.9998501,duplicate/semantic duplicate,all_notes_fr_cluster_00743,all_notes_fr_cluster_00743,all_notes_fr_cluster_00743,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4729,4733,dita_document:0f64b077ef3fb6365dc1,dita_document:beb59d54267f1f3c86e0,1.0000004768371582,0.9993999,duplicate/semantic duplicate,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4729,4741,dita_document:0f64b077ef3fb6365dc1,dita_document:366c1dfb681a820c8179,1.0000004768371582,0.9993999,duplicate/semantic duplicate,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4729,4742,dita_document:0f64b077ef3fb6365dc1,dita_document:8975cbffb656c4a55129,1.0000004768371582,0.9993999,duplicate/semantic duplicate,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4781,4809,dita_document:8eacbf2f94a73d2ecb9f,dita_document:31804dc847500943313f,1.0000004768371582,0.99987924,duplicate/semantic duplicate,all_notes_fr_cluster_00303,all_notes_fr_cluster_00303,all_notes_fr_cluster_00303,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4898,4899,dita_document:4820f0abc33ac0afa8e0,dita_document:af91993fb6a141166c6d,1.0000004768371582,0.9998689,duplicate/semantic duplicate,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4898,4900,dita_document:4820f0abc33ac0afa8e0,dita_document:8081fc67b1b2439f6dd9,1.0000004768371582,0.9998689,duplicate/semantic duplicate,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4898,4901,dita_document:4820f0abc33ac0afa8e0,dita_document:e59e6101e28ad5c1da76,1.0000004768371582,0.9998689,duplicate/semantic duplicate,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5113,5118,dita_document:288ae2ddac7837c19281,dita_document:2526febaceb8a8057754,1.0000004768371582,0.999896,duplicate/semantic duplicate,all_notes_fr_cluster_00277,all_notes_fr_cluster_00277,all_notes_fr_cluster_00277,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5149,5292,dita_document:4934faabc36c253b973f,dita_document:304249da2e8c256db597,1.0000004768371582,0.999893,duplicate/semantic duplicate,all_notes_fr_cluster_00049,all_notes_fr_cluster_00049,all_notes_fr_cluster_00049,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5206,5208,dita_document:4182cde49af9dee19c9b,dita_document:4d04d6acbba40ed89b94,1.0000004768371582,0.99988663,duplicate/semantic duplicate,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5206,5209,dita_document:4182cde49af9dee19c9b,dita_document:867a532fd9123b794a5d,1.0000004768371582,0.99988663,duplicate/semantic duplicate,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5206,5211,dita_document:4182cde49af9dee19c9b,dita_document:5e2da696cbdec62b8a02,1.0000004768371582,0.99988663,duplicate/semantic duplicate,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5399,5400,dita_document:2f68cfc7e9b7a9814214,dita_document:6627cefda1d08cbee1f4,1.0000004768371582,0.99992657,duplicate/semantic duplicate,all_notes_fr_cluster_00329,all_notes_fr_cluster_00329,all_notes_fr_cluster_00329,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5420,5421,dita_document:0aa94e448c55d2186909,dita_document:85634c10d7e94e5ec408,1.0000004768371582,0.99978364,duplicate/semantic duplicate,all_notes_fr_cluster_00094,all_notes_fr_cluster_00094,all_notes_fr_cluster_00094,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4311,4338,dita_document:203b4efd5abfeb4a158a,dita_document:faa6f8743996dc33b8b3,1.0000004768371582,0.99987316,duplicate/semantic duplicate,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4311,4339,dita_document:203b4efd5abfeb4a158a,dita_document:d56a3127adefc8203565,1.0000004768371582,0.99987316,duplicate/semantic duplicate,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4311,4340,dita_document:203b4efd5abfeb4a158a,dita_document:c8b6283627599843774c,1.0000004768371582,0.99987316,duplicate/semantic duplicate,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4338,4339,dita_document:faa6f8743996dc33b8b3,dita_document:d56a3127adefc8203565,1.0000004768371582,0.99987316,duplicate/semantic duplicate,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4338,4340,dita_document:faa6f8743996dc33b8b3,dita_document:c8b6283627599843774c,1.0000004768371582,0.99987316,duplicate/semantic duplicate,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4339,4340,dita_document:d56a3127adefc8203565,dita_document:c8b6283627599843774c,1.0000004768371582,0.99987316,duplicate/semantic duplicate,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,all_notes_fr_cluster_00221,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4733,4741,dita_document:beb59d54267f1f3c86e0,dita_document:366c1dfb681a820c8179,1.0000004768371582,0.9993999,duplicate/semantic duplicate,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4733,4742,dita_document:beb59d54267f1f3c86e0,dita_document:8975cbffb656c4a55129,1.0000004768371582,0.9993999,duplicate/semantic duplicate,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4741,4742,dita_document:366c1dfb681a820c8179,dita_document:8975cbffb656c4a55129,1.0000004768371582,0.9993999,duplicate/semantic duplicate,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,all_notes_fr_cluster_00140,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4899,4900,dita_document:af91993fb6a141166c6d,dita_document:8081fc67b1b2439f6dd9,1.0000004768371582,0.9998689,duplicate/semantic duplicate,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4899,4901,dita_document:af91993fb6a141166c6d,dita_document:e59e6101e28ad5c1da76,1.0000004768371582,0.9998689,duplicate/semantic duplicate,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4900,4901,dita_document:8081fc67b1b2439f6dd9,dita_document:e59e6101e28ad5c1da76,1.0000004768371582,0.9998689,duplicate/semantic duplicate,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,all_notes_fr_cluster_00438,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5208,5209,dita_document:4d04d6acbba40ed89b94,dita_document:867a532fd9123b794a5d,1.0000004768371582,0.99988663,duplicate/semantic duplicate,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5208,5211,dita_document:4d04d6acbba40ed89b94,dita_document:5e2da696cbdec62b8a02,1.0000004768371582,0.99988663,duplicate/semantic duplicate,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5209,5211,dita_document:867a532fd9123b794a5d,dita_document:5e2da696cbdec62b8a02,1.0000004768371582,0.99988663,duplicate/semantic duplicate,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,all_notes_fr_cluster_00415,yes,Normalized node text is identical.,False,cross_encoder,not_needed
150,154,dita_document:9451620636e846dac1b1,dita_document:ca5a06d8ce5f2bca7f2e,1.0000003576278689,0.9997758,duplicate/semantic duplicate,all_notes_fr_cluster_00679,all_notes_fr_cluster_00679,all_notes_fr_cluster_00679,yes,Normalized node text is identical.,False,cross_encoder,not_needed
320,322,dita_document:eb6f6167e9055d39ba00,dita_document:cb19cc4d67779ab54751,1.0000003576278689,0.9998643,duplicate/semantic duplicate,all_notes_fr_cluster_00760,all_notes_fr_cluster_00760,all_notes_fr_cluster_00760,yes,Normalized node text is identical.,False,cross_encoder,not_needed
320,331,dita_document:eb6f6167e9055d39ba00,dita_document:e40280d15bae67ac3782,1.0000003576278689,0.9998643,duplicate/semantic duplicate,all_notes_fr_cluster_00760,all_notes_fr_cluster_00760,all_notes_fr_cluster_00760,yes,Normalized node text is identical.,False,cross_encoder,not_needed
320,333,dita_document:eb6f6167e9055d39ba00,dita_document:f535fecacf0a77b85bf3,1.0000003576278689,0.9998643,duplicate/semantic duplicate,all_notes_fr_cluster_00760,all_notes_fr_cluster_00760,all_notes_fr_cluster_00760,yes,Normalized node text is identical.,False,cross_encoder,not_needed
326,338,dita_document:5185983f96b8c52573f1,dita_document:73b7fab7bf079095d54f,1.0000003576278689,0.9996113,duplicate/semantic duplicate,all_notes_fr_cluster_00478,all_notes_fr_cluster_00478,all_notes_fr_cluster_00478,yes,Normalized node text is identical.,False,cross_encoder,not_needed
465,960,dita_document:6822d0084d1454f2b7ae,dita_document:5bf38f348daaf74e31d8,1.0000003576278689,0.99979377,duplicate/semantic duplicate,all_notes_fr_cluster_00228,all_notes_fr_cluster_00228,all_notes_fr_cluster_00228,yes,Normalized node text is identical.,False,cross_encoder,not_needed
643,645,dita_document:c34dc6b828ac2b338d8f,dita_document:553e47c34eb3f3b6e5db,1.0000003576278689,0.99971217,duplicate/semantic duplicate,all_notes_fr_cluster_00493,all_notes_fr_cluster_00493,all_notes_fr_cluster_00493,yes,Normalized node text is identical.,False,cross_encoder,not_needed
671,675,dita_document:a44c08657e1b3965f8f1,dita_document:90bb65018e9c9fb0543b,1.0000003576278689,0.99985105,duplicate/semantic duplicate,all_notes_fr_cluster_00676,all_notes_fr_cluster_00676,all_notes_fr_cluster_00676,yes,Normalized node text is identical.,False,cross_encoder,not_needed
2286,2287,dita_document:c55aaf5804c19c4c183c,dita_document:dc1b83d9eacb9eac39a1,1.0000003576278689,0.99984455,duplicate/semantic duplicate,all_notes_fr_cluster_00727,all_notes_fr_cluster_00727,all_notes_fr_cluster_00727,yes,Normalized node text is identical.,False,cross_encoder,not_needed
2288,2291,dita_document:d9a59c7714e80bf78e08,dita_document:71f0f4a1268a198f98b8,1.0000003576278689,0.9998788,duplicate/semantic duplicate,all_notes_fr_cluster_00036,all_notes_fr_cluster_00036,all_notes_fr_cluster_00036,yes,Normalized node text is identical.,False,cross_encoder,not_needed
2782,2783,dita_document:76196bad682837f0f224,dita_document:76cbabc5c55efd7c41f1,1.0000003576278689,0.99981934,duplicate/semantic duplicate,all_notes_fr_cluster_00614,all_notes_fr_cluster_00614,all_notes_fr_cluster_00614,yes,Normalized node text is identical.,False,cross_encoder,not_needed
2807,3286,dita_document:f6cf820c708dae70ac81,dita_document:c6bc0f35eace25874932,1.0000003576278689,0.9997355,duplicate/semantic duplicate,all_notes_fr_cluster_00075,all_notes_fr_cluster_00075,all_notes_fr_cluster_00075,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3061,3066,dita_document:b566855355e99c0977be,dita_document:2ef85422f17b55a43e55,1.0000003576278689,0.9997639,duplicate/semantic duplicate,all_notes_fr_cluster_00268,all_notes_fr_cluster_00268,all_notes_fr_cluster_00268,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3208,3284,dita_document:c4b2c6adbfec30038356,dita_document:278e1ccfcd8a9d5c413b,1.0000003576278689,0.9998525,duplicate/semantic duplicate,all_notes_fr_cluster_00290,all_notes_fr_cluster_00290,all_notes_fr_cluster_00290,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3596,3711,dita_document:b83e7fcfdd6a94712e52,dita_document:d6a3bb68a0660ec51bd6,1.0000003576278689,0.9998855,duplicate/semantic duplicate,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3596,3721,dita_document:b83e7fcfdd6a94712e52,dita_document:d949051f90bb7cb232d8,1.0000003576278689,0.9998855,duplicate/semantic duplicate,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3596,3772,dita_document:b83e7fcfdd6a94712e52,dita_document:d58471bfed195c7dc794,1.0000003576278689,0.9998855,duplicate/semantic duplicate,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3596,3900,dita_document:b83e7fcfdd6a94712e52,dita_document:e37285414e1839754b8b,1.0000003576278689,0.9998855,duplicate/semantic duplicate,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3596,3906,dita_document:b83e7fcfdd6a94712e52,dita_document:4815933398cf14a3ea67,1.0000003576278689,0.9998855,duplicate/semantic duplicate,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3596,3970,dita_document:b83e7fcfdd6a94712e52,dita_document:20aed549a30620e756f2,1.0000003576278689,0.9998855,duplicate/semantic duplicate,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3596,4047,dita_document:b83e7fcfdd6a94712e52,dita_document:edab5e111ffd9e979418,1.0000003576278689,0.9998855,duplicate/semantic duplicate,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3596,4128,dita_document:b83e7fcfdd6a94712e52,dita_document:42ba635027b101806476,1.0000003576278689,0.9998855,duplicate/semantic duplicate,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3596,4179,dita_document:b83e7fcfdd6a94712e52,dita_document:f84b2cc9b5e69f7aa9a3,1.0000003576278689,0.9998855,duplicate/semantic duplicate,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,all_notes_fr_cluster_00078,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,3606,dita_document:ae270fe4f4857f5ae1ed,dita_document:0bb1e3b667df99a2ab88,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,3607,dita_document:ae270fe4f4857f5ae1ed,dita_document:5fdd633b3287644b432c,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,3624,dita_document:ae270fe4f4857f5ae1ed,dita_document:b62d6aabcb5dfaa25652,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,3626,dita_document:ae270fe4f4857f5ae1ed,dita_document:d1353bc7caf9cc46f2ba,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,3628,dita_document:ae270fe4f4857f5ae1ed,dita_document:ece05955c06502eff8b7,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,4005,dita_document:ae270fe4f4857f5ae1ed,dita_document:75f4e561a46bf4c8f364,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,4006,dita_document:ae270fe4f4857f5ae1ed,dita_document:749fe7f9c552612370cc,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,4009,dita_document:ae270fe4f4857f5ae1ed,dita_document:332ff300acccf3b1334f,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,4054,dita_document:ae270fe4f4857f5ae1ed,dita_document:4b9b3ff912db75c76734,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,4057,dita_document:ae270fe4f4857f5ae1ed,dita_document:95dd03167c9435d9eb10,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,4059,dita_document:ae270fe4f4857f5ae1ed,dita_document:efa112c93bb6d26c7728,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,4141,dita_document:ae270fe4f4857f5ae1ed,dita_document:fac342bf6a92ee4f915c,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,4145,dita_document:ae270fe4f4857f5ae1ed,dita_document:88d742a386022bd1543c,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,4149,dita_document:ae270fe4f4857f5ae1ed,dita_document:a6454d6ddebc173f04b7,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3605,4167,dita_document:ae270fe4f4857f5ae1ed,dita_document:363cc1c6f9b123dd1949,1.0000003576278689,0.9992016,duplicate/semantic duplicate,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,all_notes_fr_cluster_00012,yes,Normalized node text is identical.,False,cross_encoder,not_needed
