item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,cluster_id,item1_cluster_id,item2_cluster_id,same_duplicate_cluster,final_analysis,is_borderline,classification_source,llm_review_status
440,458,dita_document:42a77d1a6b40d7093e5e,dita_document:13b946fd05a1542b7f47,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed
440,919,dita_document:42a77d1a6b40d7093e5e,dita_document:d80adad6e549fa6783d2,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed
440,955,dita_document:42a77d1a6b40d7093e5e,dita_document:de50c0274776d1f09dd1,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed
458,919,dita_document:13b946fd05a1542b7f47,dita_document:d80adad6e549fa6783d2,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed
458,955,dita_document:13b946fd05a1542b7f47,dita_document:de50c0274776d1f09dd1,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed
919,955,dita_document:d80adad6e549fa6783d2,dita_document:de50c0274776d1f09dd1,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1243,1276,dita_document:6338340b839c615e1e71,dita_document:155b419dd00fc07149e4,1.0000005960464478,0.99992436,duplicate/semantic duplicate,all_notes_en_cluster_00170,all_notes_en_cluster_00170,all_notes_en_cluster_00170,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1243,3417,dita_document:6338340b839c615e1e71,dita_document:c56364a941271dd8882c,1.0000005960464478,0.99992436,duplicate/semantic duplicate,all_notes_en_cluster_00170,all_notes_en_cluster_00170,all_notes_en_cluster_00170,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1276,3417,dita_document:155b419dd00fc07149e4,dita_document:c56364a941271dd8882c,1.0000005960464478,0.99992436,duplicate/semantic duplicate,all_notes_en_cluster_00170,all_notes_en_cluster_00170,all_notes_en_cluster_00170,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4893,4894,dita_document:2d44bd2cac3cb5e851af,dita_document:36598f382e65c98f24ed,1.0000005960464478,0.99983186,duplicate/semantic duplicate,all_notes_en_cluster_00310,all_notes_en_cluster_00310,all_notes_en_cluster_00310,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5361,5367,dita_document:f13cfc6c0e62bd005f8f,dita_document:81424fd5325dc0581ea1,1.0000005960464478,0.99988455,duplicate/semantic duplicate,all_notes_en_cluster_00361,all_notes_en_cluster_00361,all_notes_en_cluster_00361,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5361,5372,dita_document:f13cfc6c0e62bd005f8f,dita_document:93574f6c39dbf8d45fe0,1.0000005960464478,0.99988455,duplicate/semantic duplicate,all_notes_en_cluster_00361,all_notes_en_cluster_00361,all_notes_en_cluster_00361,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5361,5626,dita_document:f13cfc6c0e62bd005f8f,dita_document:8e902338afa99e092883,1.0000005960464478,0.99988455,duplicate/semantic duplicate,all_notes_en_cluster_00361,all_notes_en_cluster_00361,all_notes_en_cluster_00361,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5367,5372,dita_document:81424fd5325dc0581ea1,dita_document:93574f6c39dbf8d45fe0,1.0000005960464478,0.99988455,duplicate/semantic duplicate,all_notes_en_cluster_00361,all_notes_en_cluster_00361,all_notes_en_cluster_00361,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5367,5626,dita_document:81424fd5325dc0581ea1,dita_document:8e902338afa99e092883,1.0000005960464478,0.99988455,duplicate/semantic duplicate,all_notes_en_cluster_00361,all_notes_en_cluster_00361,all_notes_en_cluster_00361,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5372,5626,dita_document:93574f6c39dbf8d45fe0,dita_document:8e902338afa99e092883,1.0000005960464478,0.99988455,duplicate/semantic duplicate,all_notes_en_cluster_00361,all_notes_en_cluster_00361,all_notes_en_cluster_00361,yes,Normalized node text is identical.,False,cross_encoder,not_needed
89,92,dita_document:63d36fdc84e07f6e5223,dita_document:1d69598a7a0b6c80e9f5,1.0000004768371582,0.99993837,duplicate/semantic duplicate,all_notes_en_cluster_00226,all_notes_en_cluster_00226,all_notes_en_cluster_00226,yes,Normalized node text is identical.,False,cross_encoder,not_needed
89,94,dita_document:63d36fdc84e07f6e5223,dita_document:e4d15e2bbeb93a1f2b2d,1.0000004768371582,0.99993837,duplicate/semantic duplicate,all_notes_en_cluster_00226,all_notes_en_cluster_00226,all_notes_en_cluster_00226,yes,Normalized node text is identical.,False,cross_encoder,not_needed
532,548,dita_document:7bbb4b0fbe5c19b947bf,dita_document:fcf1fd4e01a70a324449,1.0000004768371582,0.9998208,duplicate/semantic duplicate,all_notes_en_cluster_00612,all_notes_en_cluster_00612,all_notes_en_cluster_00612,yes,Normalized node text is identical.,False,cross_encoder,not_needed
716,717,dita_document:23e4afbdc5d4e8dad1d3,dita_document:e8c4ced45f1f289f4467,1.0000004768371582,0.9995999,duplicate/semantic duplicate,all_notes_en_cluster_00262,all_notes_en_cluster_00262,all_notes_en_cluster_00262,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1600,2657,dita_document:faaf73191ce728628e08,dita_document:1be421da680d1db874df,1.0000004768371582,0.99987197,duplicate/semantic duplicate,all_notes_en_cluster_00217,all_notes_en_cluster_00217,all_notes_en_cluster_00217,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1678,1703,dita_document:9843d66d0252625acad0,dita_document:48dcaf8b20c79b054e6c,1.0000004768371582,0.9998962,duplicate/semantic duplicate,all_notes_en_cluster_00441,all_notes_en_cluster_00441,all_notes_en_cluster_00441,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1971,1972,dita_document:218e1db8a4876a6e1cf9,dita_document:855d4e0edab29b288c50,1.0000004768371582,0.9999162,duplicate/semantic duplicate,all_notes_en_cluster_00251,all_notes_en_cluster_00251,all_notes_en_cluster_00251,yes,Normalized node text is identical.,False,cross_encoder,not_needed
2187,2191,dita_document:66ca39d0c185a35fdf04,dita_document:e2d4a4ac6917e2e87c1a,1.0000004768371582,0.99991137,duplicate/semantic duplicate,all_notes_en_cluster_00382,all_notes_en_cluster_00382,all_notes_en_cluster_00382,yes,Normalized node text is identical.,False,cross_encoder,not_needed
2348,2351,dita_document:536e2ffbf5a9f1fcc0a9,dita_document:0d82747a805cf808913d,1.0000004768371582,0.9999115,duplicate/semantic duplicate,all_notes_en_cluster_00118,all_notes_en_cluster_00118,all_notes_en_cluster_00118,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3440,3492,dita_document:2085694e858a2d1ade9d,dita_document:a5733f2888819d13f348,1.0000004768371582,0.9999029,duplicate/semantic duplicate,all_notes_en_cluster_00243,all_notes_en_cluster_00243,all_notes_en_cluster_00243,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3440,3496,dita_document:2085694e858a2d1ade9d,dita_document:84d705eada1c9722a1c1,1.0000004768371582,0.9999029,duplicate/semantic duplicate,all_notes_en_cluster_00243,all_notes_en_cluster_00243,all_notes_en_cluster_00243,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3440,3516,dita_document:2085694e858a2d1ade9d,dita_document:e4303372cc819bf47ad0,1.0000004768371582,0.9999029,duplicate/semantic duplicate,all_notes_en_cluster_00243,all_notes_en_cluster_00243,all_notes_en_cluster_00243,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3440,3518,dita_document:2085694e858a2d1ade9d,dita_document:77a93f87f1aae6a22a14,1.0000004768371582,0.9999029,duplicate/semantic duplicate,all_notes_en_cluster_00243,all_notes_en_cluster_00243,all_notes_en_cluster_00243,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3497,3519,dita_document:b49568cda9c43c6fd475,dita_document:cbfbf8c354738c6d3b7d,1.0000004768371582,0.99989676,duplicate/semantic duplicate,all_notes_en_cluster_00723,all_notes_en_cluster_00723,all_notes_en_cluster_00723,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3700,3701,dita_document:a81f40434ea8a59b626e,dita_document:ad61ffb76745c2f8311d,1.0000004768371582,0.9999371,duplicate/semantic duplicate,all_notes_en_cluster_00306,all_notes_en_cluster_00306,all_notes_en_cluster_00306,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3700,3702,dita_document:a81f40434ea8a59b626e,dita_document:2b9a4bbbe769bdad0c19,1.0000004768371582,0.9999371,duplicate/semantic duplicate,all_notes_en_cluster_00306,all_notes_en_cluster_00306,all_notes_en_cluster_00306,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3700,3703,dita_document:a81f40434ea8a59b626e,dita_document:5f4426b453c7670809eb,1.0000004768371582,0.9999371,duplicate/semantic duplicate,all_notes_en_cluster_00306,all_notes_en_cluster_00306,all_notes_en_cluster_00306,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3700,3704,dita_document:a81f40434ea8a59b626e,dita_document:d8d94108a5fff2aba59c,1.0000004768371582,0.9999371,duplicate/semantic duplicate,all_notes_en_cluster_00306,all_notes_en_cluster_00306,all_notes_en_cluster_00306,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3790,3792,dita_document:1b0afc201b64d44f77bb,dita_document:b025030834876f20d324,1.0000004768371582,0.9999118,duplicate/semantic duplicate,all_notes_en_cluster_00083,all_notes_en_cluster_00083,all_notes_en_cluster_00083,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4281,4284,dita_document:b481464c0003503d3355,dita_document:e513cce63c34d5a56e5f,1.0000004768371582,0.9998782,duplicate/semantic duplicate,all_notes_en_cluster_00664,all_notes_en_cluster_00664,all_notes_en_cluster_00664,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4446,4449,dita_document:4f5b60b4f01c09466df7,dita_document:ad4bb6394f21987b8157,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4446,4462,dita_document:4f5b60b4f01c09466df7,dita_document:dba22f604e0ffe1fbf0f,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4446,4464,dita_document:4f5b60b4f01c09466df7,dita_document:65b1698f9e304f7926c4,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4446,4465,dita_document:4f5b60b4f01c09466df7,dita_document:80d116d5fd59e5f79e9f,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4446,4466,dita_document:4f5b60b4f01c09466df7,dita_document:7f6d9b75a723ac0cbc9f,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4446,4468,dita_document:4f5b60b4f01c09466df7,dita_document:246112deb3a728637190,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4446,5453,dita_document:4f5b60b4f01c09466df7,dita_document:1ad83725960e1eb3d6f8,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4446,5458,dita_document:4f5b60b4f01c09466df7,dita_document:8f457919e92b66398713,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4446,5461,dita_document:4f5b60b4f01c09466df7,dita_document:4d8c1a6159d58c378e0e,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4730,4736,dita_document:f47b6244d52ee033c49c,dita_document:4416418fb22bfe5d8bd9,1.0000004768371582,0.99985975,duplicate/semantic duplicate,all_notes_en_cluster_00050,all_notes_en_cluster_00050,all_notes_en_cluster_00050,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5094,5099,dita_document:94bff1180c99d426d84a,dita_document:5238c1aa370c3a4bdf76,1.0000004768371582,0.999896,duplicate/semantic duplicate,all_notes_en_cluster_00476,all_notes_en_cluster_00476,all_notes_en_cluster_00476,yes,Normalized node text is identical.,False,cross_encoder,not_needed
92,94,dita_document:1d69598a7a0b6c80e9f5,dita_document:e4d15e2bbeb93a1f2b2d,1.0000004768371582,0.99993837,duplicate/semantic duplicate,all_notes_en_cluster_00226,all_notes_en_cluster_00226,all_notes_en_cluster_00226,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3492,3496,dita_document:a5733f2888819d13f348,dita_document:84d705eada1c9722a1c1,1.0000004768371582,0.9999029,duplicate/semantic duplicate,all_notes_en_cluster_00243,all_notes_en_cluster_00243,all_notes_en_cluster_00243,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3492,3516,dita_document:a5733f2888819d13f348,dita_document:e4303372cc819bf47ad0,1.0000004768371582,0.9999029,duplicate/semantic duplicate,all_notes_en_cluster_00243,all_notes_en_cluster_00243,all_notes_en_cluster_00243,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3492,3518,dita_document:a5733f2888819d13f348,dita_document:77a93f87f1aae6a22a14,1.0000004768371582,0.9999029,duplicate/semantic duplicate,all_notes_en_cluster_00243,all_notes_en_cluster_00243,all_notes_en_cluster_00243,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3496,3516,dita_document:84d705eada1c9722a1c1,dita_document:e4303372cc819bf47ad0,1.0000004768371582,0.9999029,duplicate/semantic duplicate,all_notes_en_cluster_00243,all_notes_en_cluster_00243,all_notes_en_cluster_00243,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3496,3518,dita_document:84d705eada1c9722a1c1,dita_document:77a93f87f1aae6a22a14,1.0000004768371582,0.9999029,duplicate/semantic duplicate,all_notes_en_cluster_00243,all_notes_en_cluster_00243,all_notes_en_cluster_00243,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3516,3518,dita_document:e4303372cc819bf47ad0,dita_document:77a93f87f1aae6a22a14,1.0000004768371582,0.9999029,duplicate/semantic duplicate,all_notes_en_cluster_00243,all_notes_en_cluster_00243,all_notes_en_cluster_00243,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3701,3702,dita_document:ad61ffb76745c2f8311d,dita_document:2b9a4bbbe769bdad0c19,1.0000004768371582,0.9999371,duplicate/semantic duplicate,all_notes_en_cluster_00306,all_notes_en_cluster_00306,all_notes_en_cluster_00306,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3701,3703,dita_document:ad61ffb76745c2f8311d,dita_document:5f4426b453c7670809eb,1.0000004768371582,0.9999371,duplicate/semantic duplicate,all_notes_en_cluster_00306,all_notes_en_cluster_00306,all_notes_en_cluster_00306,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3701,3704,dita_document:ad61ffb76745c2f8311d,dita_document:d8d94108a5fff2aba59c,1.0000004768371582,0.9999371,duplicate/semantic duplicate,all_notes_en_cluster_00306,all_notes_en_cluster_00306,all_notes_en_cluster_00306,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3702,3703,dita_document:2b9a4bbbe769bdad0c19,dita_document:5f4426b453c7670809eb,1.0000004768371582,0.9999371,duplicate/semantic duplicate,all_notes_en_cluster_00306,all_notes_en_cluster_00306,all_notes_en_cluster_00306,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3702,3704,dita_document:2b9a4bbbe769bdad0c19,dita_document:d8d94108a5fff2aba59c,1.0000004768371582,0.9999371,duplicate/semantic duplicate,all_notes_en_cluster_00306,all_notes_en_cluster_00306,all_notes_en_cluster_00306,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3703,3704,dita_document:5f4426b453c7670809eb,dita_document:d8d94108a5fff2aba59c,1.0000004768371582,0.9999371,duplicate/semantic duplicate,all_notes_en_cluster_00306,all_notes_en_cluster_00306,all_notes_en_cluster_00306,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4449,4462,dita_document:ad4bb6394f21987b8157,dita_document:dba22f604e0ffe1fbf0f,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4449,4464,dita_document:ad4bb6394f21987b8157,dita_document:65b1698f9e304f7926c4,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4449,4465,dita_document:ad4bb6394f21987b8157,dita_document:80d116d5fd59e5f79e9f,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4449,4466,dita_document:ad4bb6394f21987b8157,dita_document:7f6d9b75a723ac0cbc9f,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4449,4468,dita_document:ad4bb6394f21987b8157,dita_document:246112deb3a728637190,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4449,5453,dita_document:ad4bb6394f21987b8157,dita_document:1ad83725960e1eb3d6f8,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4449,5458,dita_document:ad4bb6394f21987b8157,dita_document:8f457919e92b66398713,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4449,5461,dita_document:ad4bb6394f21987b8157,dita_document:4d8c1a6159d58c378e0e,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4462,4464,dita_document:dba22f604e0ffe1fbf0f,dita_document:65b1698f9e304f7926c4,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4462,4465,dita_document:dba22f604e0ffe1fbf0f,dita_document:80d116d5fd59e5f79e9f,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4462,4466,dita_document:dba22f604e0ffe1fbf0f,dita_document:7f6d9b75a723ac0cbc9f,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4462,4468,dita_document:dba22f604e0ffe1fbf0f,dita_document:246112deb3a728637190,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4462,5453,dita_document:dba22f604e0ffe1fbf0f,dita_document:1ad83725960e1eb3d6f8,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4462,5458,dita_document:dba22f604e0ffe1fbf0f,dita_document:8f457919e92b66398713,1.0000004768371582,0.99988353,duplicate/semantic duplicate,all_notes_en_cluster_00212,all_notes_en_cluster_00212,all_notes_en_cluster_00212,yes,Normalized node text is identical.,False,cross_encoder,not_needed
