dataset,node_id,cluster_id,is_in_duplicate_cluster,cluster_size,body_type,node_type,article_path,article_title,document_type,language,word_count,content_hash,text
KMT all_notes EN,dita_document:7e306c92a92bd41f347d,all_notes_en_cluster_00618,yes,2,conbody,dita_document,KA-01062_note_0012.dita,Note,dita_common_node,,66,df293188c3bc87d9109a7b9f98685d93bbbf2923,"Note Note: Cúram will not stop the payment of OAS benefits and perform a reassessment of the account until the death details evidence is activated. If the information required to activate the evidence is unknown, suspend the benefits until the information can be confirmed. OAS Program Benefit Suspension—View, Suspend, Edit, and Delete in Cúram (Action) OAS Program Benefit Suspension—View, Suspend, Edit, and Delete in Cúram (Action)"
KMT all_notes EN,dita_document:5daf5b250bd37b37c5e1,all_notes_en_cluster_00517,yes,2,conbody,dita_document,KA-01062_note_0013.dita,Note,dita_common_node,,57,5cbb4e9afb577089e3107563b8f9037cf4e9b343,"Note Note: If the month and year of death are confirmed in ITRDS with a SIR source and the account does not appear on the DOD discrepancy report, it is accepted as valid proof of a DOD. Although ITRDS defaults to the 15th day of the month, the Social Insurance Registry has a validated month of death."
KMT all_notes EN,dita_document:9692ecdc3f9fd5a0d428,,no,,conbody,dita_document,KA-01062_note_0014.dita,Note,dita_common_node,,86,153e5bb6d2871e5b0c3cc692e9a3a52eaf50f0c1,"Note Note: If the Death Details evidence indicates that the death occurred outside of Canada, Cúram will automatically generate the Client has died outside of Canada (ISS-2388) letter requesting proof of death. Death Details Evidence — Edit in Cúram (Action) As proof of death can be waived for OAS in most cases, this letter will not be mailed but will still be displayed in Cúram as having been sent. If proof of death is required, send the ISS-8594 letter as directed above. Death Details Evidence — Edit in Cúram (Action)"
KMT all_notes EN,dita_document:73a8988fb7b6c4b1afd5,,no,,conbody,dita_document,KA-01062_note_0015.dita,Note,dita_common_node,,89,70751334571463505b8f7cd1cc860d7251f6149d,"Note Note: As part of the reassessment process, Cúram will create overpayments for any payments issued after the DOD for which there is no entitlement and that have not been cancelled and invalidated before the evidence was updated. For payments issued by Cúram, refer to Manage Cancelled Payments in Cúram (Action) . For payments issued by OAS Online or the International Agreement legacy systems, Manage Cancelled Payments in Cúram (Action) Manage Cancelled Legacy Payments in Cúram (Action) Manage Cancelled Payments in Cúram (Action) Manage Cancelled Legacy Payments in Cúram (Action)"
KMT all_notes EN,dita_document:3e4a6a1704947e9663ce,,no,,conbody,dita_document,KA-01062_note_0016.dita,Note,dita_common_node,,32,5972819344b151607ab9614dc2f7ef167a59ca33,"Note Note: If a payment is cancelled in SPS, you must wait until the nightly cancelled payment file is run overnight and processed. Cúram will not reflect the changes until this occurs."
KMT all_notes EN,dita_document:9bc4fb9cd5195513fd71,,no,,conbody,dita_document,KA-01062_note_0017.dita,Note,dita_common_node,,45,4f1eb50c9ec019ddb5909e2f2dab1f1927ba30d5,"Note Note: If the surviving spouse's benefit has or needs to be converted from the ALW benefit to the ALWS benefit, refer to Conversion of OAS Benefits (Scenario) to determine if additional actions are required. Conversion of OAS Benefits (Scenario) Conversion of OAS Benefits (Scenario)"
KMT all_notes EN,dita_document:c9e73e42747666bd4951,,no,,conbody,dita_document,KA-01062_note_0018.dita,Note,dita_common_node,,55,f77900a1991da1842d9f183577ea4176a3e4538c,"Note Note: If the date of death was received from the ITRDS interface and the death details evidence was automatically activated, a task is created when this letter cannot be sent by Cúram. You must send the applicable letter manually. For more information, Death Details Evidence — Edit in Cúram (Action) Death Details Evidence — Edit in Cúram (Action)"
KMT all_notes EN,dita_document:8d7c6a3c2099a87b176b,all_notes_en_cluster_00651,yes,2,conbody,dita_document,KA-01068_note_0001.dita,Callout,dita_common_node,,20,900858fc2e76ccff650ad64f0536454412b412bb,"Callout Example THE ESTATE OF MRS JANE DOE C/O MR RICHARD ROE 1401 ROCKLAND AVE VICTORIA, BC V8S 1V9"
KMT all_notes EN,dita_document:3bcbde81b117242a3bab,all_notes_en_cluster_00386,yes,3,conbody,dita_document,KA-01068_note_0002.dita,Callout,dita_common_node,,19,fa32b24adedd9c0552721ffbe1fc7c5261a04e0a,"Callout Example MR JOHN DOE FOR THE ESTATE OF MRS JANE DOE 501 BELLEVILLE ST VICTORIA, BC V8V 2L8"
KMT all_notes EN,dita_document:3d9fd3ce6d02df1cc3e0,,no,,conbody,dita_document,KA-01068_note_0003.dita,Note,dita_common_node,,76,241293dbc526e395aa080d3656b954431941c20b,"Note Note: Cúram will address the underpayment or arrears as required when the applicable legal representative is selected as nominee for the payment. If you are issuing the payment to the individual who completed the Indemnity Agreement (Old Age Security and Canada Pension Plan) (ISP-0425) form, do not add the third party contact to Cúram. You must issue the payment by manual priority payment, addressing it to the individual, for the estate of (the deceased client)."
KMT all_notes EN,dita_document:4678f652bb6ebe03a886,,no,,conbody,dita_document,KA-01068_note_0004.dita,Note,dita_common_node,,41,2bde63c755d16d3707a075b9dd52420b47093cae,"Note Note: If the payment was issued in the OAS Online or International Agreements systems, the payment must be issued by manual priority payment. For more information, Manage Cancelled Legacy Payments in Cúram (Action) Manage Cancelled Legacy Payments in Cúram (Action)"
KMT all_notes EN,dita_document:784177fbf5b0a4bf752b,all_notes_en_cluster_00386,yes,3,conbody,dita_document,KA-01068_note_0005.dita,Callout,dita_common_node,,19,fa32b24adedd9c0552721ffbe1fc7c5261a04e0a,"Callout Example MR JOHN DOE FOR THE ESTATE OF MRS JANE DOE 501 BELLEVILLE ST VICTORIA, BC V8V 2L8"
KMT all_notes EN,dita_document:9fe976f6039eff5e289b,,no,,conbody,dita_document,KA-01070_note_0001.dita,Note,dita_common_node,,95,c302911ed8152c7ab199f36a76a3519fc75245c3,"Note Note: A client in receipt of CPP and OAS benefits may receive more than one type of tax slip for the same calendar year. For example, if a client was a resident of Canada for part of the year and then became a non-resident for the rest of that same year, they will receive a T4A and an NR4 for that taxation year for both CPP and OAS. For an OAS pension and income-tested benefits, an NR4 tax slip must be issued separately for each benefit for periods when the client was a non-resident."
KMT all_notes EN,dita_document:d2757bbebcaf7bd3f542,,no,,conbody,dita_document,KA-01070_note_0002.dita,Note,dita_common_node,,34,e0c9a711919227f38f89c4861d825db4924953eb,"Note Note: For OAS, do not edit the Preferred method of tax slips correspondence field in Cúram. Clients must use the Client Portal via MSCA if they wish to modify their tax slip preference."
KMT all_notes EN,dita_document:b1e0924b98d537db1c96,,no,,conbody,dita_document,KA-01070_note_0003.dita,Note,dita_common_node,,49,74d5a56edb0300cc01323e67ce53a0047c4c2db0,"Note Note: If the priority payment was issued in the previous calendar year but was not recorded in Cúram until the following year (e.g. a payment is issued in 2025 but was recorded in Cúram in 2026), then the tax slip must be amended and issued in Cúram."
KMT all_notes EN,dita_document:f1845bfb2b5ef18b86bd,,no,,conbody,dita_document,KA-01070_note_0004.dita,Note,dita_common_node,,43,ca17485f8612247e3caa26fea2a2c08a720830f3,"Note Note: As of the end of December 2025, the OAS/IA Adjustment screen in ITRDS is no longer available to be viewed or modified. To make any modifications to the 2025 year- to-date amounts, the final tax slip must be amended in Cúram."
KMT all_notes EN,dita_document:a5c1a870a87aed90c0d2,,no,,conbody,dita_document,KA-01070_note_0005.dita,Note,dita_common_node,,38,a1e8a9bfb03e81180c5ac9c1632f70e867eeba92,"Note Note: A GIS overpayment recovered from an OAS benefit will not reduce the amount of the OAS benefit paid to the client. As the GIS is a non-taxable benefit, it cannot be used to decrease taxable income."
KMT all_notes EN,dita_document:6d4b1acb577c92811561,,no,,conbody,dita_document,KA-01070_note_0006.dita,Note,dita_common_node,,18,2267adeeefd0fd2d89f9f42038d2e2fde4708b2b,Note Note: You can only amend original CPP tax slips that are issued in the current tax year.
KMT all_notes EN,dita_document:26ed66b4640a62ac47b6,,no,,conbody,dita_document,KA-01070_note_0007.dita,Note,dita_common_node,,28,49e03356468f282c05dcbab26109330421a9f99b,"Note Note: Tax slips created through E-Forms will not be available in CPMS . You must add detailed ITRDS notes, including the reason for creating a manual tax slip."
KMT all_notes EN,dita_document:ab19b41ea92620564ea1,,no,,conbody,dita_document,KA-01070_note_0008.dita,Note,dita_common_node,,15,81a7429feb888bbd43cdfb010c55c9b41b6e16b6,"Note Note: If the Printing Status is Sent , you must amend the tax slip instead."
KMT all_notes EN,dita_document:79d80978b570b438c59b,all_notes_en_cluster_00607,yes,2,conbody,dita_document,KA-01070_note_0009.dita,Note,dita_common_node,,20,2792a07a7f87c0cce0e481aff2062ff7c22ee338,Note Note: Duplicate tax slips should not be cancelled because they are not sent to the CRA and Revenu Québec.
KMT all_notes EN,dita_document:1b29640a433f38cedf13,all_notes_en_cluster_00213,yes,2,conbody,dita_document,KA-01070_note_0010.dita,Note,dita_common_node,,38,6857f0c27ca3cbcb049f8d641c2f30a972653c4d,"Note Note: If you have issued a duplicate tax slip but need to modify the financial information before it is sent, you must delete the duplicate slip with a Printing Status set to Submitted and amend it instead."
KMT all_notes EN,dita_document:9fc19e106a9613f6e8f9,all_notes_en_cluster_00662,yes,2,conbody,dita_document,KA-01071_note_0001.dita,Note,dita_common_node,,17,402ab5296621e0bef147914372e4541dffec6771,"Note Note: The CPP defines ""good cause"" as a significant risk to a person's life or health."
KMT all_notes EN,dita_document:442d45c3b0472af4d208,,no,,conbody,dita_document,KA-01071_note_0002.dita,Note,dita_common_node,,39,813330d9582ceda55061529e5a45f9b28cafbbc2,"Note Note: You do not need to send the client a 30-day written notice of suspension letter or a letter indicating their benefits have been suspended, as the previous reassessment kit and letters informed the client of the suspension."
KMT all_notes EN,dita_document:6ce55fa514e094aa7215,,no,,conbody,dita_document,KA-01071_note_0003.dita,Note,dita_common_node,,12,b9de1574c8ae7b96f68a72fa43a5a32f945da250,Note Note: You may need to suspend each individual pension or benefit.
KMT all_notes EN,dita_document:31d1ec517460cc75a687,,no,,conbody,dita_document,KA-01071_note_0004.dita,Note,dita_common_node,,79,993a7f47ba23891125548015afe9535c8f6436f5,"Note Note: Once you have confirmed that the client’s whereabouts are unknown (e.g. the Department has been notified that the client has died outside of Canada but the date of death is unknown) or you have referred the file to the ISB, you must add a special caution to the account in Cúram to identify that there is an issue. Special Cautions—View, Add, End and Delete in Cúram (Action) Special Cautions—View, Add, End and Delete in Cúram (Action)"
KMT all_notes EN,dita_document:d2929410e45a75fe37ea,,no,,conbody,dita_document,KA-01072_note_0001.dita,Note,dita_common_node,,28,b42271f874b0e717377233391856ba4ecffbd24c,"Note Note: For written requests to cancel a CPP pension or benefit received before September 21, 2020, the cancellation request and repayment period is limited to 6 months."
KMT all_notes EN,dita_document:60a254afb38c2e762168,,no,,conbody,dita_document,KA-01072_note_0002.dita,Note,dita_common_node,,27,5774a977481cf53995c1a48d5b14831fce447b81,"Note Note: The DCCB may continue to be paid after the disabled contributor reaches the age of 65, if the child continues to meet the eligibility criteria."
KMT all_notes EN,dita_document:a3fc3750b4c29e61138c,,no,,conbody,dita_document,KA-01072_note_0003.dita,Note,dita_common_node,,40,33c66d7e84d66dc24724512884f1fd126c6f4bef,"Note Note: As a client service measure to avoid an overpayment situation for the SVR pension recipient, the SVR pension is terminated when the credit split application is received when no additional information is required to approve the credit split."
KMT all_notes EN,dita_document:53eb0d0fc071eb6f12ad,,no,,conbody,dita_document,KA-01072_note_0004.dita,Note,dita_common_node,,14,ace18b043cfa7238464adaaeb8e1287441557107,Note Note: The Department does not encourage clients to cancel their pensions or benefits.
KMT all_notes EN,dita_document:b2b849e3ed80aacbb548,,no,,conbody,dita_document,KA-01072_note_0005.dita,Note,dita_common_node,,15,0c52485a3256cdb8a5a559238eb9042e605b3d1c,Note Note: You cannot reprocess the cancelled application. The client must submit a new application.
KMT all_notes EN,dita_document:9a28ef46dfe6a65fcd47,,no,,conbody,dita_document,KA-01072_note_0006.dita,Note,dita_common_node,,66,1142e6928919b7851cb3b4940c536e043402f550,"Note Reminder: You must release the pension or benefit (including all related benefits) and return all repaid amounts to the client if you did not receive the complete repayment within the required time period (12 months for CPP pensions or benefits). For more information, Cancel, Reinstate, Release, Suspend or Terminate a Benefit in ITRDS (Action) Cancel, Reinstate, Release, Suspend or Terminate a Benefit in ITRDS (Action)"
KMT all_notes EN,dita_document:5bd3d9602ad6468243dc,,no,,conbody,dita_document,KA-01072_note_0007.dita,Note,dita_common_node,,40,30c91b2d10a0de2c07bbe02b9fd4cde3a7bfd6d0,"Note Note: When you cancel a PRB for a QPP benefit recipient (i.e. the client has made CPP contributions towards a PRB ), you must refer the file to the Program Exception Processing Unit in St. John's, Newfoundland and Labrador."
KMT all_notes EN,dita_document:17e546966811e8a0a81d,,no,,conbody,dita_document,KA-01072_note_0008.dita,Callout,dita_common_node,,117,89b68cbd5cc6359937abb6e15ebae47a29255563,"Callout Example After you put the applicant into pay for the PRDB , the applicant appeals the CPPD benefits application decision because they disagree with the Date of Onset (DOO). At the reconsideration level, the DOO is determined to be before the RTR pension start date. The Department approves a change of benefit from the PRDB to the DSB because: the applicant is in pay for an RTR pension for less than 15 months at the date of application for the DSB ; the applicant is under the age of 65; the applicant has a severe and prolonged disability, as defined in the Canada Pension Plan legislation; and the DOO is before the start date of the RTR pension."
KMT all_notes EN,dita_document:fe11fd95f5eafb263760,,no,,conbody,dita_document,KA-01072_note_0009.dita,Note,dita_common_node,,39,15dfb9230c130faa71b5201dbe66d9d55f827f75,"Note Note: If the applicant is in pay for an RTR pension and they submit a CPPD benefits application, the Department must use the CPPD benefits application to determine if the client is eligible for a DSB or PRDB ."
KMT all_notes EN,dita_document:7f47b9771abe53e206e6,,no,,conbody,dita_document,KA-01072_note_0010.dita,Note,dita_common_node,,146,858db47a7e003965bb51d038cc56f586fed064c3,"Note Reminder: You must send an email to the PRDB General Delivery (GD) box to advise the PRDB Specialized Processing Centre or the responsible IO processing unit to: stop the PRDB payments immediately; add the receivable to CPMS ; and request for the total amount of PRDB and the Disabled Contributor's Child Post-Retirement (DCCPR) benefit (if applicable) paid to the client. Add an important note in ITRDS indicating that the decision on the CPPD benefits application is reversed and granted at the reconsideration level and that the PRDB and DCCPR benefit (if applicable) are cancelled. For Ontario clients, send an email to the PRDB GD box Email template in Chatham, Ontario. PRDB GD box For Western Canada and Territories or Atlantic clients, send an email to the PRDB GD box Email template in St. John's, Newfoundland and Labrador. PRDB GD box PRDB GD box PRDB GD box"
KMT all_notes EN,dita_document:b62f78c9c55654d16674,all_notes_en_cluster_00728,yes,2,conbody,dita_document,KA-01072_note_0011.dita,Note,dita_common_node,,52,a6420e2372a02059714220507332206acf76f528,Note Note: The effective date of the approval of a credit split is the last day of the month in which the request for the credit split is received (i.e. the date stamp of the application). This is not the date the application is data captured and receives approval in ITRDS .
KMT all_notes EN,dita_document:e68f4b6013c2158af2f5,all_notes_en_cluster_00676,yes,2,conbody,dita_document,KA-01072_note_0012.dita,Note,dita_common_node,,40,e4e744d68bd56626443c5a75022e5dcf2f843c72,"Note Note: When a credit split application is entered in ITRDS , periods of interrelationships (e.g. separation or divorce) are also entered. The result is the automatic termination of the PNSH which is retroactive to 12 months after the separation."
KMT all_notes EN,dita_document:cd176a632d96e1f7910c,,no,,conbody,dita_document,KA-01072_note_0013.dita,Note,dita_common_node,,40,74c9249a6494e21c0040a09fa856782182f564ed,"Note Note: If one spouse or common-law partner cannot sign the request because they are incapable, a client's authorized legal representative must sign the request. If there is no authorized legal representative, one can be appointed. Trusteeship (Scenario) Trusteeship (Scenario)"
KMT all_notes EN,dita_document:24f3bd3cdcc7ab21ef86,,no,,conbody,dita_document,KA-01072_note_0014.dita,Note,dita_common_node,,41,c44ad1d384775b5abe5d466b9636737def6fbc18,"Note Note: If is an SVR pension receivable because the SVR pension continued to be paid awaiting the processing of the credit split, the overpayment is valid and collectable. For information on overpayments, Departmental Receivables (Overpayments) (Scenario) Departmental Receivables (Overpayments) (Scenario)"
